 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.60000E+04 eV = 5.87989E+02 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 6.23100E-17 cm**2 = 2.22513E+00 a0**2
 # 1st transport cross section = 2.30674E-18 cm**2 = 8.23753E-02 a0**2
 # 2nd transport cross section = 4.00689E-18 cm**2 = 1.43089E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.15628E-15  2.55555E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  7.15628E-15  2.55555E+02  9.79539E-10  1.0E-07
  1.250E-04  1.18994E-12  7.15628E-15  2.55555E+02  1.22442E-09  1.0E-07
  1.500E-04  1.71346E-12  7.15628E-15  2.55555E+02  1.46931E-09  1.0E-07
  1.750E-04  2.33225E-12  7.15628E-15  2.55555E+02  1.71419E-09  1.0E-07
  2.000E-04  3.04617E-12  7.15628E-15  2.55555E+02  1.95908E-09  1.0E-07
  2.250E-04  3.85530E-12  7.15628E-15  2.55555E+02  2.20396E-09  1.0E-07
  2.500E-04  4.75964E-12  7.15628E-15  2.55555E+02  2.44885E-09  1.0E-07
  2.750E-04  5.75917E-12  7.15628E-15  2.55555E+02  2.69373E-09  1.0E-07
  3.000E-04  6.85391E-12  7.15628E-15  2.55555E+02  2.93862E-09  1.0E-07
  3.250E-04  8.04379E-12  7.15628E-15  2.55555E+02  3.18350E-09  1.0E-07
  3.500E-04  9.32893E-12  7.15628E-15  2.55555E+02  3.42839E-09  1.0E-07
  3.750E-04  1.07092E-11  7.15628E-15  2.55555E+02  3.67327E-09  1.0E-07
  4.000E-04  1.21847E-11  7.15628E-15  2.55555E+02  3.91815E-09  1.0E-07
  4.250E-04  1.37554E-11  7.15628E-15  2.55555E+02  4.16304E-09  1.0E-07
  4.500E-04  1.54213E-11  7.15628E-15  2.55555E+02  4.40792E-09  1.0E-07
  4.750E-04  1.71823E-11  7.15628E-15  2.55555E+02  4.65281E-09  1.0E-07
  5.000E-04  1.90386E-11  7.15628E-15  2.55555E+02  4.89769E-09  1.0E-07
  5.250E-04  2.09900E-11  7.15628E-15  2.55555E+02  5.14258E-09  1.0E-07
  5.500E-04  2.30367E-11  7.15628E-15  2.55555E+02  5.38746E-09  1.0E-07
  5.750E-04  2.51785E-11  7.15628E-15  2.55555E+02  5.63235E-09  1.0E-07
  6.000E-04  2.74156E-11  7.15628E-15  2.55555E+02  5.87723E-09  1.0E-07
  6.250E-04  2.97478E-11  7.15628E-15  2.55555E+02  6.12212E-09  1.0E-07
  6.500E-04  3.21752E-11  7.15628E-15  2.55555E+02  6.36700E-09  1.0E-07
  6.750E-04  3.46979E-11  7.15628E-15  2.55555E+02  6.61189E-09  1.0E-07
  7.000E-04  3.73157E-11  7.15628E-15  2.55555E+02  6.85677E-09  1.0E-07
  7.250E-04  4.00286E-11  7.15628E-15  2.55555E+02  7.10166E-09  1.0E-07
  7.500E-04  4.28368E-11  7.15628E-15  2.55555E+02  7.34654E-09  1.0E-07
  7.750E-04  4.57402E-11  7.15628E-15  2.55555E+02  7.59143E-09  1.0E-07
  8.000E-04  4.87388E-11  7.15628E-15  2.55555E+02  7.83631E-09  1.0E-07
  8.250E-04  5.18325E-11  7.15628E-15  2.55555E+02  8.08119E-09  1.0E-07
  8.500E-04  5.50215E-11  7.15628E-15  2.55555E+02  8.32608E-09  1.0E-07
  8.750E-04  5.83057E-11  7.15628E-15  2.55555E+02  8.57096E-09  1.0E-07
  9.000E-04  6.16850E-11  7.15628E-15  2.55555E+02  8.81585E-09  1.0E-07
  9.250E-04  6.51595E-11  7.15628E-15  2.55555E+02  9.06073E-09  1.0E-07
  9.500E-04  6.87293E-11  7.15628E-15  2.55555E+02  9.30562E-09  1.0E-07
  9.750E-04  7.23943E-11  7.15628E-15  2.55555E+02  9.55050E-09  1.0E-07
  1.000E-03  7.61544E-11  7.15628E-15  2.55555E+02  9.79539E-09  1.0E-07
  1.250E-03  1.18991E-10  7.15627E-15  2.55555E+02  1.22442E-08  1.0E-07
  1.500E-03  1.71347E-10  7.15627E-15  2.55555E+02  1.46931E-08  1.0E-07
  1.750E-03  2.33223E-10  7.15627E-15  2.55555E+02  1.71419E-08  1.0E-07
  2.000E-03  3.04617E-10  7.15627E-15  2.55555E+02  1.95908E-08  1.0E-07
  2.250E-03  3.85531E-10  7.15627E-15  2.55555E+02  2.20396E-08  1.0E-07
  2.500E-03  4.75965E-10  7.15626E-15  2.55555E+02  2.44885E-08  1.0E-07
  2.750E-03  5.75917E-10  7.15626E-15  2.55555E+02  2.69374E-08  1.0E-07
  3.000E-03  6.85389E-10  7.15626E-15  2.55555E+02  2.93862E-08  1.0E-07
  3.250E-03  8.04380E-10  7.15625E-15  2.55554E+02  3.18351E-08  1.0E-07
  3.500E-03  9.32891E-10  7.15625E-15  2.55554E+02  3.42839E-08  1.0E-07
  3.750E-03  1.07092E-09  7.15625E-15  2.55554E+02  3.67328E-08  1.0E-07
  4.000E-03  1.21847E-09  7.15624E-15  2.55554E+02  3.91817E-08  1.0E-07
  4.250E-03  1.37554E-09  7.15624E-15  2.55554E+02  4.16305E-08  1.0E-07
  4.500E-03  1.54213E-09  7.15623E-15  2.55554E+02  4.40794E-08  1.0E-07
  4.750E-03  1.71823E-09  7.15623E-15  2.55554E+02  4.65283E-08  1.0E-07
  5.000E-03  1.90386E-09  7.15622E-15  2.55553E+02  4.89772E-08  1.0E-07
  5.250E-03  2.09900E-09  7.15622E-15  2.55553E+02  5.14260E-08  1.0E-07
  5.500E-03  2.30367E-09  7.15621E-15  2.55553E+02  5.38749E-08  1.0E-07
  5.750E-03  2.51785E-09  7.15621E-15  2.55553E+02  5.63238E-08  1.0E-07
  6.000E-03  2.74156E-09  7.15620E-15  2.55553E+02  5.87727E-08  1.0E-07
  6.250E-03  2.97478E-09  7.15619E-15  2.55552E+02  6.12216E-08  1.0E-07
  6.500E-03  3.21752E-09  7.15619E-15  2.55552E+02  6.36705E-08  1.0E-07
  6.750E-03  3.46978E-09  7.15618E-15  2.55552E+02  6.61194E-08  1.0E-07
  7.000E-03  3.73156E-09  7.15617E-15  2.55552E+02  6.85683E-08  1.0E-07
  7.250E-03  4.00286E-09  7.15616E-15  2.55551E+02  7.10173E-08  1.0E-07
  7.500E-03  4.28368E-09  7.15616E-15  2.55551E+02  7.34662E-08  1.0E-07
  7.750E-03  4.57402E-09  7.15615E-15  2.55551E+02  7.59151E-08  1.0E-07
  8.000E-03  4.87388E-09  7.15614E-15  2.55550E+02  7.83640E-08  1.0E-07
  8.250E-03  5.18326E-09  7.15613E-15  2.55550E+02  8.08130E-08  1.0E-07
  8.500E-03  5.50215E-09  7.15612E-15  2.55550E+02  8.32619E-08  1.0E-07
  8.750E-03  5.83057E-09  7.15611E-15  2.55549E+02  8.57109E-08  1.0E-07
  9.000E-03  6.16850E-09  7.15610E-15  2.55549E+02  8.81598E-08  1.0E-07
  9.250E-03  6.51596E-09  7.15609E-15  2.55549E+02  9.06088E-08  1.0E-07
  9.500E-03  6.87293E-09  7.15608E-15  2.55548E+02  9.30578E-08  1.0E-07
  9.750E-03  7.23942E-09  7.15607E-15  2.55548E+02  9.55068E-08  1.0E-07
  1.000E-02  7.61544E-09  7.15606E-15  2.55548E+02  9.79557E-08  1.0E-07
  1.250E-02  1.18991E-08  7.15594E-15  2.55543E+02  1.22446E-07  1.0E-07
  1.500E-02  1.71347E-08  7.15579E-15  2.55538E+02  1.46937E-07  1.0E-07
  1.750E-02  2.33223E-08  7.15562E-15  2.55532E+02  1.71429E-07  1.0E-07
  2.000E-02  3.04617E-08  7.15542E-15  2.55525E+02  1.95923E-07  1.0E-07
  2.250E-02  3.85531E-08  7.15519E-15  2.55516E+02  2.20418E-07  1.0E-07
  2.500E-02  4.75965E-08  7.15493E-15  2.55507E+02  2.44914E-07  1.0E-07
  2.750E-02  5.75917E-08  7.15465E-15  2.55497E+02  2.69412E-07  1.0E-07
  3.000E-02  6.85389E-08  7.15434E-15  2.55486E+02  2.93912E-07  1.0E-07
  3.250E-02  8.04380E-08  7.15401E-15  2.55474E+02  3.18414E-07  1.0E-07
  3.500E-02  9.32891E-08  7.15364E-15  2.55461E+02  3.42919E-07  1.0E-07
  3.750E-02  1.07092E-07  7.15325E-15  2.55447E+02  3.67426E-07  1.0E-07
  4.000E-02  1.21847E-07  7.15284E-15  2.55433E+02  3.91935E-07  1.0E-07
  4.250E-02  1.37554E-07  7.15240E-15  2.55417E+02  4.16448E-07  1.0E-07
  4.500E-02  1.54213E-07  7.15193E-15  2.55400E+02  4.40963E-07  1.0E-07
  4.750E-02  1.71823E-07  7.15143E-15  2.55382E+02  4.65481E-07  1.0E-07
  5.000E-02  1.90386E-07  7.15091E-15  2.55363E+02  4.90003E-07  1.0E-07
  5.250E-02  2.09900E-07  7.15036E-15  2.55344E+02  5.14529E-07  1.0E-07
  5.500E-02  2.30367E-07  7.14978E-15  2.55323E+02  5.39058E-07  1.0E-07
  5.750E-02  2.51785E-07  7.14918E-15  2.55302E+02  5.63590E-07  1.0E-07
  6.000E-02  2.74156E-07  7.14854E-15  2.55279E+02  5.88127E-07  1.0E-07
  6.250E-02  2.97478E-07  7.14789E-15  2.55256E+02  6.12669E-07  1.0E-07
  6.500E-02  3.21752E-07  7.14720E-15  2.55231E+02  6.37214E-07  1.0E-07
  6.750E-02  3.46978E-07  7.14649E-15  2.55206E+02  6.61764E-07  1.0E-07
  7.000E-02  3.73156E-07  7.14576E-15  2.55180E+02  6.86319E-07  1.0E-07
  7.250E-02  4.00286E-07  7.14499E-15  2.55152E+02  7.10879E-07  1.0E-07
  7.500E-02  4.28368E-07  7.14420E-15  2.55124E+02  7.35443E-07  1.0E-07
  7.750E-02  4.57402E-07  7.14338E-15  2.55095E+02  7.60014E-07  1.0E-07
  8.000E-02  4.87388E-07  7.14254E-15  2.55065E+02  7.84589E-07  1.0E-07
  8.250E-02  5.18325E-07  7.14167E-15  2.55034E+02  8.09170E-07  1.0E-07
  8.500E-02  5.50215E-07  7.14077E-15  2.55002E+02  8.33757E-07  1.0E-07
  8.750E-02  5.83057E-07  7.13985E-15  2.54969E+02  8.58350E-07  1.0E-07
  9.000E-02  6.16850E-07  7.13890E-15  2.54935E+02  8.82949E-07  1.0E-07
  9.250E-02  6.51596E-07  7.13792E-15  2.54900E+02  9.07554E-07  1.0E-07
  9.500E-02  6.87293E-07  7.13692E-15  2.54864E+02  9.32166E-07  1.0E-07
  9.750E-02  7.23942E-07  7.13589E-15  2.54827E+02  9.56785E-07  1.0E-07
  1.000E-01  7.61543E-07  7.13483E-15  2.54790E+02  9.81410E-07  1.0E-07
  1.250E-01  1.18991E-06  7.12282E-15  2.54360E+02  1.22808E-06  1.0E-07
  1.500E-01  1.71347E-06  7.10818E-15  2.53838E+02  1.47562E-06  1.0E-07
  1.750E-01  2.33223E-06  7.09095E-15  2.53222E+02  1.72422E-06  1.0E-07
  2.000E-01  3.04617E-06  7.07116E-15  2.52516E+02  1.97404E-06  1.0E-07
  2.250E-01  3.85531E-06  7.04884E-15  2.51719E+02  2.22527E-06  1.0E-07
  2.500E-01  4.75964E-06  7.02404E-15  2.50833E+02  2.47807E-06  1.0E-07
  2.750E-01  5.75916E-06  6.99680E-15  2.49860E+02  2.73262E-06  1.0E-07
  3.000E-01  6.85388E-06  6.96718E-15  2.48802E+02  2.98910E-06  1.0E-07
  3.250E-01  8.04378E-06  6.93522E-15  2.47661E+02  3.24768E-06  1.0E-07
  3.500E-01  9.32888E-06  6.90099E-15  2.46439E+02  3.50853E-06  1.0E-07
  3.750E-01  1.07092E-05  6.86454E-15  2.45137E+02  3.77183E-06  1.0E-07
  4.000E-01  1.21846E-05  6.82594E-15  2.43759E+02  4.03775E-06  1.0E-07
  4.250E-01  1.37553E-05  6.78526E-15  2.42306E+02  4.30646E-06  1.0E-07
  4.500E-01  1.54212E-05  6.74257E-15  2.40782E+02  4.57814E-06  1.0E-07
  4.750E-01  1.71822E-05  6.69794E-15  2.39188E+02  4.85296E-06  1.0E-07
  5.000E-01  1.90385E-05  6.65144E-15  2.37527E+02  5.13109E-06  1.0E-07
  5.250E-01  2.09899E-05  6.60314E-15  2.35803E+02  5.41270E-06  1.0E-07
  5.500E-01  2.30365E-05  6.55314E-15  2.34017E+02  5.69796E-06  1.0E-07
  5.750E-01  2.51783E-05  6.50150E-15  2.32173E+02  5.98705E-06  1.0E-07
  6.000E-01  2.74153E-05  6.44830E-15  2.30273E+02  6.28014E-06  1.0E-07
  6.250E-01  2.97475E-05  6.39363E-15  2.28321E+02  6.57739E-06  1.0E-07
  6.500E-01  3.21749E-05  6.33757E-15  2.26319E+02  6.87898E-06  1.0E-07
  6.750E-01  3.46974E-05  6.28019E-15  2.24270E+02  7.18507E-06  1.0E-07
  7.000E-01  3.73152E-05  6.22158E-15  2.22177E+02  7.49584E-06  1.0E-07
  7.250E-01  4.00281E-05  6.16182E-15  2.20043E+02  7.81145E-06  1.0E-07
  7.500E-01  4.28362E-05  6.10099E-15  2.17870E+02  8.13208E-06  1.0E-07
  7.750E-01  4.57395E-05  6.03917E-15  2.15663E+02  8.45788E-06  1.0E-07
  8.000E-01  4.87380E-05  5.97643E-15  2.13422E+02  8.78903E-06  1.0E-07
  8.250E-01  5.18317E-05  5.91287E-15  2.11152E+02  9.12569E-06  1.0E-07
  8.500E-01  5.50205E-05  5.84854E-15  2.08855E+02  9.46803E-06  1.0E-07
  8.750E-01  5.83045E-05  5.78353E-15  2.06534E+02  9.81622E-06  1.0E-07
  9.000E-01  6.16838E-05  5.71792E-15  2.04191E+02  1.01704E-05  1.0E-07
  9.250E-01  6.51582E-05  5.65177E-15  2.01828E+02  1.05308E-05  1.0E-07
  9.500E-01  6.87277E-05  5.58515E-15  1.99449E+02  1.08975E-05  1.0E-07
  9.750E-01  7.23925E-05  5.51814E-15  1.97056E+02  1.12708E-05  1.0E-07
  1.000E+00  7.61524E-05  5.45080E-15  1.94651E+02  1.16508E-05  1.0E-07
  1.100E+00  9.21439E-05  5.17937E-15  1.84959E+02  1.32404E-05  1.0E-07
  1.200E+00  1.09658E-04  4.90743E-15  1.75248E+02  1.49498E-05  1.0E-07
