 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+03 eV = 6.61488E+01 a.u.
 #
 # Element: Au,  Z =  79,  atomic weight = 1.96967E+02 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 6.22560E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 79
 #
 # Electron density: Read from file z_079.den   
 #                   Number of data points =  777
 #                   Volume integral = 7.90000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # Total elastic cross section = 1.92487E-16 cm**2 = 6.87382E+00 a0**2
 # 1st transport cross section = 4.03237E-17 cm**2 = 1.43999E+00 a0**2
 # 2nd transport cross section = 3.62334E-17 cm**2 = 1.29392E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.55176E-15  1.26836E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.55176E-15  1.26836E+02  3.25553E-09  1.0E-07
  1.250E-04  1.18994E-12  3.55176E-15  1.26836E+02  4.06942E-09  1.0E-07
  1.500E-04  1.71346E-12  3.55176E-15  1.26836E+02  4.88330E-09  1.0E-07
  1.750E-04  2.33225E-12  3.55176E-15  1.26836E+02  5.69718E-09  1.0E-07
  2.000E-04  3.04617E-12  3.55176E-15  1.26836E+02  6.51107E-09  1.0E-07
  2.250E-04  3.85530E-12  3.55176E-15  1.26836E+02  7.32495E-09  1.0E-07
  2.500E-04  4.75964E-12  3.55176E-15  1.26836E+02  8.13883E-09  1.0E-07
  2.750E-04  5.75917E-12  3.55176E-15  1.26836E+02  8.95272E-09  1.0E-07
  3.000E-04  6.85391E-12  3.55176E-15  1.26836E+02  9.76660E-09  1.0E-07
  3.250E-04  8.04379E-12  3.55176E-15  1.26836E+02  1.05805E-08  1.0E-07
  3.500E-04  9.32893E-12  3.55176E-15  1.26836E+02  1.13944E-08  1.0E-07
  3.750E-04  1.07092E-11  3.55176E-15  1.26836E+02  1.22083E-08  1.0E-07
  4.000E-04  1.21847E-11  3.55176E-15  1.26836E+02  1.30221E-08  1.0E-07
  4.250E-04  1.37554E-11  3.55176E-15  1.26836E+02  1.38360E-08  1.0E-07
  4.500E-04  1.54213E-11  3.55176E-15  1.26836E+02  1.46499E-08  1.0E-07
  4.750E-04  1.71823E-11  3.55176E-15  1.26836E+02  1.54638E-08  1.0E-07
  5.000E-04  1.90386E-11  3.55176E-15  1.26836E+02  1.62777E-08  1.0E-07
  5.250E-04  2.09900E-11  3.55176E-15  1.26836E+02  1.70916E-08  1.0E-07
  5.500E-04  2.30367E-11  3.55176E-15  1.26836E+02  1.79054E-08  1.0E-07
  5.750E-04  2.51785E-11  3.55176E-15  1.26836E+02  1.87193E-08  1.0E-07
  6.000E-04  2.74156E-11  3.55176E-15  1.26836E+02  1.95332E-08  1.0E-07
  6.250E-04  2.97478E-11  3.55176E-15  1.26836E+02  2.03471E-08  1.0E-07
  6.500E-04  3.21752E-11  3.55176E-15  1.26836E+02  2.11610E-08  1.0E-07
  6.750E-04  3.46979E-11  3.55176E-15  1.26836E+02  2.19749E-08  1.0E-07
  7.000E-04  3.73157E-11  3.55176E-15  1.26836E+02  2.27887E-08  1.0E-07
  7.250E-04  4.00286E-11  3.55176E-15  1.26836E+02  2.36026E-08  1.0E-07
  7.500E-04  4.28368E-11  3.55176E-15  1.26836E+02  2.44165E-08  1.0E-07
  7.750E-04  4.57402E-11  3.55176E-15  1.26836E+02  2.52304E-08  1.0E-07
  8.000E-04  4.87388E-11  3.55176E-15  1.26836E+02  2.60443E-08  1.0E-07
  8.250E-04  5.18325E-11  3.55176E-15  1.26836E+02  2.68582E-08  1.0E-07
  8.500E-04  5.50215E-11  3.55176E-15  1.26836E+02  2.76720E-08  1.0E-07
  8.750E-04  5.83057E-11  3.55176E-15  1.26836E+02  2.84859E-08  1.0E-07
  9.000E-04  6.16850E-11  3.55176E-15  1.26836E+02  2.92998E-08  1.0E-07
  9.250E-04  6.51595E-11  3.55176E-15  1.26836E+02  3.01137E-08  1.0E-07
  9.500E-04  6.87293E-11  3.55176E-15  1.26836E+02  3.09276E-08  1.0E-07
  9.750E-04  7.23943E-11  3.55176E-15  1.26836E+02  3.17415E-08  1.0E-07
  1.000E-03  7.61544E-11  3.55176E-15  1.26836E+02  3.25553E-08  1.0E-07
  1.250E-03  1.18991E-10  3.55176E-15  1.26836E+02  4.06942E-08  1.0E-07
  1.500E-03  1.71347E-10  3.55176E-15  1.26836E+02  4.88330E-08  1.0E-07
