 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  79,   projectile: electron
 #  Kinetic energy = 2.50000E+04 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  0.000E+00  0.00000E+00  8.46650E-08  3.13700E-08  0.00000E+00  0.00000E+00
  1.000E-04  7.61557E-13  8.46650E-08  3.13700E-08  3.42812E-15  1.33453E-15
  1.250E-04  1.18994E-12  8.46650E-08  3.13700E-08  4.28515E-15  1.66817E-15
  1.500E-04  1.71346E-12  8.46650E-08  3.13700E-08  5.14218E-15  2.00180E-15
  1.750E-04  2.33225E-12  8.46650E-08  3.13700E-08  5.99921E-15  2.33544E-15
  2.000E-04  3.04617E-12  8.46650E-08  3.13700E-08  6.85624E-15  2.66907E-15
  2.250E-04  3.85530E-12  8.46650E-08  3.13700E-08  7.71327E-15  3.00270E-15
  2.500E-04  4.75964E-12  8.46650E-08  3.13700E-08  8.57030E-15  3.33634E-15
  2.750E-04  5.75917E-12  8.46650E-08  3.13700E-08  9.42733E-15  3.66997E-15
  3.000E-04  6.85391E-12  8.46650E-08  3.13700E-08  1.02844E-14  4.00360E-15
  3.250E-04  8.04379E-12  8.46650E-08  3.13700E-08  1.11414E-14  4.33724E-15
  3.500E-04  9.32893E-12  8.46650E-08  3.13700E-08  1.19984E-14  4.67087E-15
  3.750E-04  1.07092E-11  8.46650E-08  3.13700E-08  1.28554E-14  5.00450E-15
  4.000E-04  1.21847E-11  8.46650E-08  3.13700E-08  1.37125E-14  5.33814E-15
  4.250E-04  1.37554E-11  8.46650E-08  3.13700E-08  1.45695E-14  5.67177E-15
  4.500E-04  1.54213E-11  8.46650E-08  3.13700E-08  1.54265E-14  6.00540E-15
  4.750E-04  1.71823E-11  8.46650E-08  3.13700E-08  1.62836E-14  6.33904E-15
  5.000E-04  1.90386E-11  8.46650E-08  3.13700E-08  1.71406E-14  6.67267E-15
  5.250E-04  2.09900E-11  8.46650E-08  3.13700E-08  1.79976E-14  7.00631E-15
