 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+02 eV = 7.34987E+00 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 3.06186E+00
 #
 # Total elastic cross section = 1.91760E-16 cm**2 = 6.84787E+00 a0**2
 # 1st transport cross section = 3.36716E-17 cm**2 = 1.20243E+00 a0**2
 # 2nd transport cross section = 5.17584E-17 cm**2 = 1.84833E+00 a0**2
 #
 #    Absorption cross section = 2.12310E-16 cm**2 = 7.58174E+00 a0**2
 #   Grand total cross section = 4.04075E-16 cm**2 = 1.44298E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.54124E-15  5.50388E+01  0.00000E+00  6.2E-07
  1.000E-04  7.61557E-13  1.54124E-15  5.50388E+01  1.08734E-10  6.2E-07
  1.250E-04  1.18994E-12  1.54124E-15  5.50388E+01  1.35918E-10  6.2E-07
  1.500E-04  1.71346E-12  1.54124E-15  5.50388E+01  1.63101E-10  6.2E-07
  1.750E-04  2.33225E-12  1.54124E-15  5.50388E+01  1.90285E-10  6.2E-07
  2.000E-04  3.04617E-12  1.54124E-15  5.50388E+01  2.17468E-10  6.2E-07
  2.250E-04  3.85530E-12  1.54124E-15  5.50388E+01  2.44652E-10  6.2E-07
  2.500E-04  4.75964E-12  1.54124E-15  5.50388E+01  2.71835E-10  6.2E-07
  2.750E-04  5.75917E-12  1.54124E-15  5.50388E+01  2.99019E-10  6.2E-07
  3.000E-04  6.85391E-12  1.54124E-15  5.50388E+01  3.26202E-10  6.2E-07
  3.250E-04  8.04379E-12  1.54124E-15  5.50388E+01  3.53386E-10  6.2E-07
  3.500E-04  9.32893E-12  1.54124E-15  5.50388E+01  3.80569E-10  6.2E-07
  3.750E-04  1.07092E-11  1.54124E-15  5.50388E+01  4.07753E-10  6.2E-07
  4.000E-04  1.21847E-11  1.54124E-15  5.50388E+01  4.34936E-10  6.2E-07
  4.250E-04  1.37554E-11  1.54124E-15  5.50388E+01  4.62120E-10  6.2E-07
  4.500E-04  1.54213E-11  1.54124E-15  5.50388E+01  4.89303E-10  6.2E-07
  4.750E-04  1.71823E-11  1.54124E-15  5.50388E+01  5.16487E-10  6.2E-07
  5.000E-04  1.90386E-11  1.54124E-15  5.50388E+01  5.43670E-10  6.2E-07
  5.250E-04  2.09900E-11  1.54124E-15  5.50388E+01  5.70854E-10  6.2E-07
  5.500E-04  2.30367E-11  1.54124E-15  5.50388E+01  5.98037E-10  6.2E-07
  5.750E-04  2.51785E-11  1.54124E-15  5.50388E+01  6.25221E-10  6.2E-07
  6.000E-04  2.74156E-11  1.54124E-15  5.50388E+01  6.52404E-10  6.2E-07
  6.250E-04  2.97478E-11  1.54124E-15  5.50388E+01  6.79588E-10  6.2E-07
  6.500E-04  3.21752E-11  1.54124E-15  5.50388E+01  7.06771E-10  6.2E-07
  6.750E-04  3.46979E-11  1.54124E-15  5.50388E+01  7.33955E-10  6.2E-07
  7.000E-04  3.73157E-11  1.54124E-15  5.50388E+01  7.61138E-10  6.2E-07
  7.250E-04  4.00286E-11  1.54124E-15  5.50388E+01  7.88322E-10  6.2E-07
  7.500E-04  4.28368E-11  1.54124E-15  5.50388E+01  8.15505E-10  6.2E-07
  7.750E-04  4.57402E-11  1.54124E-15  5.50388E+01  8.42689E-10  6.2E-07
  8.000E-04  4.87388E-11  1.54124E-15  5.50388E+01  8.69873E-10  6.2E-07
  8.250E-04  5.18325E-11  1.54124E-15  5.50388E+01  8.97056E-10  6.2E-07
  8.500E-04  5.50215E-11  1.54124E-15  5.50388E+01  9.24240E-10  6.2E-07
  8.750E-04  5.83057E-11  1.54124E-15  5.50388E+01  9.51423E-10  6.2E-07
  9.000E-04  6.16850E-11  1.54124E-15  5.50388E+01  9.78607E-10  6.2E-07
  9.250E-04  6.51595E-11  1.54124E-15  5.50388E+01  1.00579E-09  6.2E-07
  9.500E-04  6.87293E-11  1.54124E-15  5.50388E+01  1.03297E-09  6.2E-07
  9.750E-04  7.23943E-11  1.54124E-15  5.50388E+01  1.06016E-09  6.2E-07
  1.000E-03  7.61544E-11  1.54124E-15  5.50388E+01  1.08734E-09  6.2E-07
  1.250E-03  1.18991E-10  1.54124E-15  5.50388E+01  1.35918E-09  6.2E-07
  1.500E-03  1.71347E-10  1.54124E-15  5.50388E+01  1.63101E-09  6.2E-07
  1.750E-03  2.33223E-10  1.54124E-15  5.50388E+01  1.90285E-09  6.2E-07
  2.000E-03  3.04617E-10  1.54124E-15  5.50388E+01  2.17468E-09  6.2E-07
  2.250E-03  3.85531E-10  1.54124E-15  5.50388E+01  2.44652E-09  6.2E-07
  2.500E-03  4.75965E-10  1.54124E-15  5.50388E+01  2.71835E-09  6.2E-07
  2.750E-03  5.75917E-10  1.54124E-15  5.50388E+01  2.99019E-09  6.2E-07
  3.000E-03  6.85389E-10  1.54124E-15  5.50388E+01  3.26202E-09  6.2E-07
  3.250E-03  8.04380E-10  1.54124E-15  5.50387E+01  3.53386E-09  6.2E-07
  3.500E-03  9.32891E-10  1.54124E-15  5.50387E+01  3.80569E-09  6.2E-07
  3.750E-03  1.07092E-09  1.54124E-15  5.50387E+01  4.07753E-09  6.2E-07
  4.000E-03  1.21847E-09  1.54124E-15  5.50387E+01  4.34936E-09  6.2E-07
  4.250E-03  1.37554E-09  1.54124E-15  5.50387E+01  4.62120E-09  6.2E-07
  4.500E-03  1.54213E-09  1.54124E-15  5.50387E+01  4.89303E-09  6.2E-07
  4.750E-03  1.71823E-09  1.54124E-15  5.50387E+01  5.16487E-09  6.2E-07
  5.000E-03  1.90386E-09  1.54124E-15  5.50387E+01  5.43670E-09  6.2E-07
  5.250E-03  2.09900E-09  1.54124E-15  5.50386E+01  5.70854E-09  6.2E-07
  5.500E-03  2.30367E-09  1.54124E-15  5.50386E+01  5.98037E-09  6.2E-07
  5.750E-03  2.51785E-09  1.54124E-15  5.50386E+01  6.25221E-09  6.2E-07
  6.000E-03  2.74156E-09  1.54124E-15  5.50386E+01  6.52404E-09  6.2E-07
  6.250E-03  2.97478E-09  1.54124E-15  5.50386E+01  6.79588E-09  6.2E-07
  6.500E-03  3.21752E-09  1.54124E-15  5.50386E+01  7.06771E-09  6.2E-07
  6.750E-03  3.46978E-09  1.54124E-15  5.50385E+01  7.33955E-09  6.2E-07
  7.000E-03  3.73156E-09  1.54124E-15  5.50385E+01  7.61138E-09  6.2E-07
  7.250E-03  4.00286E-09  1.54124E-15  5.50385E+01  7.88322E-09  6.2E-07
  7.500E-03  4.28368E-09  1.54123E-15  5.50385E+01  8.15505E-09  6.2E-07
  7.750E-03  4.57402E-09  1.54123E-15  5.50385E+01  8.42689E-09  6.2E-07
  8.000E-03  4.87388E-09  1.54123E-15  5.50384E+01  8.69872E-09  6.2E-07
  8.250E-03  5.18326E-09  1.54123E-15  5.50384E+01  8.97056E-09  6.2E-07
  8.500E-03  5.50215E-09  1.54123E-15  5.50384E+01  9.24240E-09  6.2E-07
  8.750E-03  5.83057E-09  1.54123E-15  5.50384E+01  9.51423E-09  6.2E-07
  9.000E-03  6.16850E-09  1.54123E-15  5.50383E+01  9.78607E-09  6.2E-07
  9.250E-03  6.51596E-09  1.54123E-15  5.50383E+01  1.00579E-08  6.2E-07
  9.500E-03  6.87293E-09  1.54123E-15  5.50383E+01  1.03297E-08  6.2E-07
  9.750E-03  7.23942E-09  1.54123E-15  5.50383E+01  1.06016E-08  6.2E-07
  1.000E-02  7.61544E-09  1.54123E-15  5.50382E+01  1.08734E-08  6.2E-07
  1.250E-02  1.18991E-08  1.54122E-15  5.50379E+01  1.35918E-08  6.2E-07
  1.500E-02  1.71347E-08  1.54121E-15  5.50375E+01  1.63101E-08  6.2E-07
  1.750E-02  2.33223E-08  1.54119E-15  5.50371E+01  1.90285E-08  6.2E-07
  2.000E-02  3.04617E-08  1.54118E-15  5.50365E+01  2.17468E-08  6.2E-07
  2.250E-02  3.85531E-08  1.54116E-15  5.50359E+01  2.44652E-08  6.2E-07
  2.500E-02  4.75965E-08  1.54114E-15  5.50352E+01  2.71835E-08  6.2E-07
  2.750E-02  5.75917E-08  1.54112E-15  5.50345E+01  2.99019E-08  6.2E-07
  3.000E-02  6.85389E-08  1.54110E-15  5.50336E+01  3.26202E-08  6.2E-07
  3.250E-02  8.04380E-08  1.54107E-15  5.50327E+01  3.53386E-08  6.2E-07
  3.500E-02  9.32891E-08  1.54105E-15  5.50318E+01  3.80569E-08  6.2E-07
  3.750E-02  1.07092E-07  1.54102E-15  5.50307E+01  4.07752E-08  6.2E-07
  4.000E-02  1.21847E-07  1.54099E-15  5.50296E+01  4.34936E-08  6.2E-07
  4.250E-02  1.37554E-07  1.54095E-15  5.50284E+01  4.62119E-08  6.2E-07
  4.500E-02  1.54213E-07  1.54092E-15  5.50272E+01  4.89303E-08  6.2E-07
  4.750E-02  1.71823E-07  1.54088E-15  5.50259E+01  5.16486E-08  6.2E-07
  5.000E-02  1.90386E-07  1.54084E-15  5.50245E+01  5.43670E-08  6.2E-07
  5.250E-02  2.09900E-07  1.54080E-15  5.50230E+01  5.70853E-08  6.2E-07
  5.500E-02  2.30367E-07  1.54076E-15  5.50215E+01  5.98036E-08  6.1E-07
  5.750E-02  2.51785E-07  1.54071E-15  5.50199E+01  6.25220E-08  6.1E-07
  6.000E-02  2.74156E-07  1.54067E-15  5.50182E+01  6.52403E-08  6.1E-07
  6.250E-02  2.97478E-07  1.54062E-15  5.50164E+01  6.79587E-08  6.1E-07
  6.500E-02  3.21752E-07  1.54057E-15  5.50146E+01  7.06770E-08  6.1E-07
  6.750E-02  3.46978E-07  1.54051E-15  5.50127E+01  7.33953E-08  6.1E-07
  7.000E-02  3.73156E-07  1.54046E-15  5.50107E+01  7.61137E-08  6.1E-07
  7.250E-02  4.00286E-07  1.54040E-15  5.50087E+01  7.88320E-08  6.1E-07
  7.500E-02  4.28368E-07  1.54034E-15  5.50066E+01  8.15503E-08  6.1E-07
  7.750E-02  4.57402E-07  1.54028E-15  5.50044E+01  8.42687E-08  6.1E-07
  8.000E-02  4.87388E-07  1.54022E-15  5.50022E+01  8.69870E-08  6.1E-07
  8.250E-02  5.18325E-07  1.54015E-15  5.49998E+01  8.97053E-08  6.1E-07
  8.500E-02  5.50215E-07  1.54009E-15  5.49974E+01  9.24237E-08  6.0E-07
  8.750E-02  5.83057E-07  1.54002E-15  5.49950E+01  9.51420E-08  6.0E-07
  9.000E-02  6.16850E-07  1.53995E-15  5.49924E+01  9.78603E-08  6.0E-07
  9.250E-02  6.51596E-07  1.53987E-15  5.49898E+01  1.00579E-07  6.0E-07
  9.500E-02  6.87293E-07  1.53980E-15  5.49872E+01  1.03297E-07  6.0E-07
  9.750E-02  7.23942E-07  1.53972E-15  5.49844E+01  1.06015E-07  6.0E-07
  1.000E-01  7.61543E-07  1.53964E-15  5.49816E+01  1.08734E-07  6.0E-07
  1.250E-01  1.18991E-06  1.53874E-15  5.49496E+01  1.35917E-07  5.9E-07
  1.500E-01  1.71347E-06  1.53765E-15  5.49105E+01  1.63100E-07  5.7E-07
  1.750E-01  2.33223E-06  1.53637E-15  5.48646E+01  1.90283E-07  5.5E-07
  2.000E-01  3.04617E-06  1.53489E-15  5.48120E+01  2.17467E-07  5.3E-07
  2.250E-01  3.85531E-06  1.53323E-15  5.47526E+01  2.44651E-07  5.1E-07
  2.500E-01  4.75964E-06  1.53138E-15  5.46867E+01  2.71837E-07  4.8E-07
  2.750E-01  5.75916E-06  1.52936E-15  5.46143E+01  2.99024E-07  4.5E-07
  3.000E-01  6.85388E-06  1.52716E-15  5.45357E+01  3.26213E-07  4.2E-07
  3.250E-01  8.04378E-06  1.52479E-15  5.44511E+01  3.53405E-07  3.9E-07
  3.500E-01  9.32888E-06  1.52225E-15  5.43605E+01  3.80601E-07  3.6E-07
  3.750E-01  1.07092E-05  1.51955E-15  5.42641E+01  4.07802E-07  3.2E-07
  4.000E-01  1.21846E-05  1.51670E-15  5.41623E+01  4.35008E-07  2.9E-07
  4.250E-01  1.37553E-05  1.51370E-15  5.40551E+01  4.62222E-07  2.5E-07
  4.500E-01  1.54212E-05  1.51055E-15  5.39427E+01  4.89445E-07  2.2E-07
  4.750E-01  1.71822E-05  1.50727E-15  5.38255E+01  5.16679E-07  1.8E-07
  5.000E-01  1.90385E-05  1.50385E-15  5.37035E+01  5.43924E-07  1.5E-07
  5.250E-01  2.09899E-05  1.50031E-15  5.35771E+01  5.71185E-07  1.1E-07
  5.500E-01  2.30365E-05  1.49666E-15  5.34465E+01  5.98461E-07  1.0E-07
  5.750E-01  2.51783E-05  1.49289E-15  5.33119E+01  6.25757E-07  1.0E-07
  6.000E-01  2.74153E-05  1.48901E-15  5.31736E+01  6.53074E-07  1.0E-07
  6.250E-01  2.97475E-05  1.48504E-15  5.30317E+01  6.80416E-07  1.0E-07
  6.500E-01  3.21749E-05  1.48097E-15  5.28865E+01  7.07784E-07  1.0E-07
  6.750E-01  3.46974E-05  1.47682E-15  5.27383E+01  7.35183E-07  1.0E-07
  7.000E-01  3.73152E-05  1.47259E-15  5.25873E+01  7.62615E-07  1.1E-07
  7.250E-01  4.00281E-05  1.46829E-15  5.24337E+01  7.90084E-07  1.4E-07
  7.500E-01  4.28362E-05  1.46393E-15  5.22778E+01  8.17593E-07  1.6E-07
