 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+02 eV = 1.28623E+01 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 4.33013E+00
 #
 # Total elastic cross section = 1.29672E-16 cm**2 = 4.63068E+00 a0**2
 # 1st transport cross section = 1.62182E-17 cm**2 = 5.79161E-01 a0**2
 # 2nd transport cross section = 2.88402E-17 cm**2 = 1.02990E+00 a0**2
 #
 #    Absorption cross section = 1.36136E-16 cm**2 = 4.86149E+00 a0**2
 #   Grand total cross section = 2.65811E-16 cm**2 = 9.49230E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.48217E-15  5.29294E+01  0.00000E+00  1.1E-06
  1.000E-04  7.61557E-13  1.48217E-15  5.29294E+01  1.04887E-10  1.1E-06
  1.250E-04  1.18994E-12  1.48217E-15  5.29294E+01  1.31109E-10  1.1E-06
  1.500E-04  1.71346E-12  1.48217E-15  5.29294E+01  1.57331E-10  1.1E-06
  1.750E-04  2.33225E-12  1.48217E-15  5.29294E+01  1.83553E-10  1.1E-06
  2.000E-04  3.04617E-12  1.48217E-15  5.29294E+01  2.09774E-10  1.1E-06
  2.250E-04  3.85530E-12  1.48217E-15  5.29294E+01  2.35996E-10  1.1E-06
  2.500E-04  4.75964E-12  1.48217E-15  5.29294E+01  2.62218E-10  1.1E-06
  2.750E-04  5.75917E-12  1.48217E-15  5.29294E+01  2.88440E-10  1.1E-06
  3.000E-04  6.85391E-12  1.48217E-15  5.29294E+01  3.14662E-10  1.1E-06
  3.250E-04  8.04379E-12  1.48217E-15  5.29294E+01  3.40883E-10  1.1E-06
  3.500E-04  9.32893E-12  1.48217E-15  5.29294E+01  3.67105E-10  1.1E-06
  3.750E-04  1.07092E-11  1.48217E-15  5.29294E+01  3.93327E-10  1.1E-06
  4.000E-04  1.21847E-11  1.48217E-15  5.29294E+01  4.19549E-10  1.1E-06
  4.250E-04  1.37554E-11  1.48217E-15  5.29294E+01  4.45771E-10  1.1E-06
  4.500E-04  1.54213E-11  1.48217E-15  5.29294E+01  4.71993E-10  1.1E-06
  4.750E-04  1.71823E-11  1.48217E-15  5.29294E+01  4.98214E-10  1.1E-06
  5.000E-04  1.90386E-11  1.48217E-15  5.29294E+01  5.24436E-10  1.1E-06
  5.250E-04  2.09900E-11  1.48217E-15  5.29294E+01  5.50658E-10  1.1E-06
  5.500E-04  2.30367E-11  1.48217E-15  5.29294E+01  5.76880E-10  1.1E-06
