 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element:  C,  Z =   6,  atomic weight = 1.20107E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.45042E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  6
 #
 # Electron density: Read from file z_006.den   
 #                   Number of data points =  725
 #                   Volume integral = 6.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.26000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 1.76000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 1.35369E-17 cm**2 = 4.83411E-01 a0**2
 # 1st transport cross section = 2.61230E-19 cm**2 = 9.32868E-03 a0**2
 # 2nd transport cross section = 6.18938E-19 cm**2 = 2.21027E-02 a0**2
 #
 #    Absorption cross section = 1.29656E-17 cm**2 = 4.63011E-01 a0**2
 #   Grand total cross section = 2.65036E-17 cm**2 = 9.46462E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.07547E-15  3.84059E+01  0.00000E+00  3.9E-04
  1.000E-04  7.61557E-13  1.07547E-15  3.84059E+01  7.46543E-11  3.9E-04
  1.250E-04  1.18994E-12  1.07547E-15  3.84058E+01  9.33179E-11  3.9E-04
  1.500E-04  1.71346E-12  1.07547E-15  3.84058E+01  1.11981E-10  3.9E-04
  1.750E-04  2.33225E-12  1.07547E-15  3.84058E+01  1.30645E-10  3.9E-04
  2.000E-04  3.04617E-12  1.07547E-15  3.84058E+01  1.49309E-10  3.9E-04
  2.250E-04  3.85530E-12  1.07547E-15  3.84058E+01  1.67972E-10  3.9E-04
  2.500E-04  4.75964E-12  1.07547E-15  3.84058E+01  1.86636E-10  3.9E-04
  2.750E-04  5.75917E-12  1.07547E-15  3.84058E+01  2.05299E-10  3.9E-04
  3.000E-04  6.85391E-12  1.07547E-15  3.84058E+01  2.23963E-10  3.9E-04
  3.250E-04  8.04379E-12  1.07547E-15  3.84058E+01  2.42626E-10  3.9E-04
  3.500E-04  9.32893E-12  1.07547E-15  3.84058E+01  2.61290E-10  3.9E-04
  3.750E-04  1.07092E-11  1.07547E-15  3.84058E+01  2.79953E-10  3.9E-04
  4.000E-04  1.21847E-11  1.07547E-15  3.84058E+01  2.98617E-10  3.9E-04
  4.250E-04  1.37554E-11  1.07547E-15  3.84058E+01  3.17280E-10  3.9E-04
  4.500E-04  1.54213E-11  1.07547E-15  3.84058E+01  3.35944E-10  3.9E-04
  4.750E-04  1.71823E-11  1.07547E-15  3.84058E+01  3.54607E-10  3.9E-04
  5.000E-04  1.90386E-11  1.07547E-15  3.84058E+01  3.73270E-10  3.9E-04
  5.250E-04  2.09900E-11  1.07547E-15  3.84058E+01  3.91934E-10  3.9E-04
  5.500E-04  2.30367E-11  1.07547E-15  3.84058E+01  4.10597E-10  3.9E-04
  5.750E-04  2.51785E-11  1.07547E-15  3.84058E+01  4.29260E-10  3.9E-04
  6.000E-04  2.74156E-11  1.07547E-15  3.84058E+01  4.47924E-10  3.9E-04
  6.250E-04  2.97478E-11  1.07547E-15  3.84058E+01  4.66587E-10  3.9E-04
  6.500E-04  3.21752E-11  1.07547E-15  3.84058E+01  4.85250E-10  3.9E-04
  6.750E-04  3.46979E-11  1.07547E-15  3.84058E+01  5.03913E-10  3.9E-04
  7.000E-04  3.73157E-11  1.07547E-15  3.84058E+01  5.22577E-10  3.9E-04
  7.250E-04  4.00286E-11  1.07547E-15  3.84058E+01  5.41240E-10  3.9E-04
  7.500E-04  4.28368E-11  1.07547E-15  3.84058E+01  5.59903E-10  3.9E-04
  7.750E-04  4.57402E-11  1.07547E-15  3.84058E+01  5.78566E-10  3.9E-04
  8.000E-04  4.87388E-11  1.07547E-15  3.84058E+01  5.97229E-10  3.9E-04
  8.250E-04  5.18325E-11  1.07547E-15  3.84058E+01  6.15892E-10  3.9E-04
  8.500E-04  5.50215E-11  1.07547E-15  3.84058E+01  6.34555E-10  3.9E-04
  8.750E-04  5.83057E-11  1.07547E-15  3.84058E+01  6.53218E-10  3.9E-04
  9.000E-04  6.16850E-11  1.07547E-15  3.84058E+01  6.71881E-10  3.9E-04
  9.250E-04  6.51595E-11  1.07547E-15  3.84058E+01  6.90544E-10  3.9E-04
  9.500E-04  6.87293E-11  1.07547E-15  3.84057E+01  7.09207E-10  3.9E-04
  9.750E-04  7.23943E-11  1.07547E-15  3.84057E+01  7.27870E-10  3.9E-04
  1.000E-03  7.61544E-11  1.07547E-15  3.84057E+01  7.46532E-10  3.9E-04
  1.250E-03  1.18991E-10  1.07547E-15  3.84057E+01  9.33158E-10  3.9E-04
  1.500E-03  1.71347E-10  1.07547E-15  3.84056E+01  1.11978E-09  3.9E-04
  1.750E-03  2.33223E-10  1.07546E-15  3.84055E+01  1.30639E-09  3.9E-04
  2.000E-03  3.04617E-10  1.07546E-15  3.84054E+01  1.49300E-09  3.9E-04
  2.250E-03  3.85531E-10  1.07546E-15  3.84053E+01  1.67960E-09  3.9E-04
  2.500E-03  4.75965E-10  1.07545E-15  3.84051E+01  1.86618E-09  3.9E-04
  2.750E-03  5.75917E-10  1.07545E-15  3.84050E+01  2.05276E-09  3.9E-04
  3.000E-03  6.85389E-10  1.07544E-15  3.84048E+01  2.23933E-09  3.9E-04
  3.250E-03  8.04380E-10  1.07544E-15  3.84047E+01  2.42588E-09  3.9E-04
  3.500E-03  9.32891E-10  1.07543E-15  3.84045E+01  2.61242E-09  3.9E-04
  3.750E-03  1.07092E-09  1.07543E-15  3.84043E+01  2.79895E-09  3.9E-04
  4.000E-03  1.21847E-09  1.07542E-15  3.84040E+01  2.98546E-09  3.9E-04
  4.250E-03  1.37554E-09  1.07542E-15  3.84038E+01  3.17195E-09  3.9E-04
  4.500E-03  1.54213E-09  1.07541E-15  3.84036E+01  3.35843E-09  3.9E-04
  4.750E-03  1.71823E-09  1.07540E-15  3.84033E+01  3.54489E-09  3.9E-04
  5.000E-03  1.90386E-09  1.07539E-15  3.84030E+01  3.73132E-09  3.9E-04
  5.250E-03  2.09900E-09  1.07539E-15  3.84027E+01  3.91774E-09  3.9E-04
  5.500E-03  2.30367E-09  1.07538E-15  3.84024E+01  4.10413E-09  3.9E-04
  5.750E-03  2.51785E-09  1.07537E-15  3.84021E+01  4.29050E-09  3.9E-04
  6.000E-03  2.74156E-09  1.07536E-15  3.84018E+01  4.47685E-09  3.9E-04
  6.250E-03  2.97478E-09  1.07535E-15  3.84014E+01  4.66317E-09  3.9E-04
  6.500E-03  3.21752E-09  1.07534E-15  3.84011E+01  4.84947E-09  3.9E-04
  6.750E-03  3.46978E-09  1.07533E-15  3.84007E+01  5.03574E-09  3.9E-04
  7.000E-03  3.73156E-09  1.07532E-15  3.84003E+01  5.22198E-09  3.9E-04
  7.250E-03  4.00286E-09  1.07531E-15  3.83999E+01  5.40819E-09  3.9E-04
  7.500E-03  4.28368E-09  1.07530E-15  3.83995E+01  5.59437E-09  3.9E-04
  7.750E-03  4.57402E-09  1.07528E-15  3.83991E+01  5.78052E-09  3.9E-04
  8.000E-03  4.87388E-09  1.07527E-15  3.83986E+01  5.96664E-09  3.9E-04
  8.250E-03  5.18326E-09  1.07526E-15  3.83981E+01  6.15272E-09  3.9E-04
