 #  Total cross section table (last run of 'elscata').
 #
 #  Z =   6,   projectile: electron
 #
 #   Energy         ECS         TCS1         TCS2         ABSCS      error
 #    (eV)        (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #--------------------------------------------------------------------------
   1.00000E+01  1.30381E-15  6.96919E-16  7.52757E-16  7.34022E-16  1.0E-07
   2.00000E+01  9.26156E-16  4.69478E-16  3.79894E-16  6.37927E-16  1.0E-07
   3.00000E+01  7.16428E-16  3.31465E-16  2.53563E-16  5.63478E-16  1.0E-07
   4.00000E+01  5.90303E-16  2.47819E-16  1.97561E-16  5.07836E-16  1.0E-07
   5.00000E+01  5.06459E-16  1.94066E-16  1.66587E-16  4.63847E-16  1.0E-07
   6.00000E+01  4.46052E-16  1.56866E-16  1.45716E-16  4.28167E-16  1.0E-07
   7.00000E+01  4.00027E-16  1.30072E-16  1.29928E-16  3.98299E-16  1.0E-07
   8.00000E+01  3.63497E-16  1.10100E-16  1.17241E-16  3.72828E-16  1.0E-07
   9.00000E+01  3.34159E-16  9.47453E-17  1.06674E-16  3.50799E-16  1.6E-05
   1.00000E+02  3.10011E-16  8.26684E-17  9.77089E-17  3.31431E-16  4.7E-06
   1.20000E+02  2.72383E-16  6.50458E-17  8.32432E-17  2.98818E-16  5.1E-06
   1.40000E+02  2.44116E-16  5.28846E-17  7.20325E-17  2.72281E-16  2.4E-06
   1.60000E+02  2.22787E-16  4.45609E-17  6.37120E-17  2.49200E-16  1.5E-05
   1.80000E+02  2.05807E-16  3.84264E-17  5.71511E-17  2.29362E-16  2.5E-06
   2.00000E+02  1.91760E-16  3.36716E-17  5.17584E-17  2.12310E-16  6.3E-06
   2.50000E+02  1.64801E-16  2.53566E-17  4.15404E-17  1.78907E-16  1.3E-05
   3.00000E+02  1.45047E-16  1.99734E-17  3.42721E-17  1.54590E-16  6.5E-06
   3.50000E+02  1.29672E-16  1.62182E-17  2.88402E-17  1.36136E-16  1.7E-05
   4.00000E+02  1.17202E-16  1.34725E-17  2.46383E-17  1.21657E-16  2.0E-05
   4.50000E+02  1.06791E-16  1.13904E-17  2.13034E-17  1.09994E-16  1.2E-05
   5.00000E+02  9.80682E-17  9.77300E-18  1.86196E-17  1.00397E-16  4.3E-06
   6.00000E+02  8.44237E-17  7.45205E-18  1.46230E-17  8.55292E-17  2.5E-05
   7.00000E+02  7.41948E-17  5.89106E-18  1.18251E-17  7.45394E-17  3.5E-05
   8.00000E+02  6.62173E-17  4.78639E-18  9.78352E-18  6.60797E-17  1.9E-05
   9.00000E+02  5.98107E-17  3.97368E-18  8.24445E-18  5.93631E-17  4.2E-05
   1.00000E+03  5.45474E-17  3.35709E-18  7.05326E-18  5.38990E-17  4.8E-05
   1.20000E+03  4.64033E-17  2.49645E-18  5.35181E-18  4.55428E-17  2.0E-03
   1.40000E+03  4.03892E-17  1.93573E-18  4.21502E-18  3.94491E-17  3.4E-03
   1.60000E+03  3.57634E-17  1.54890E-18  3.41526E-18  3.48059E-17  3.6E-03
   1.80000E+03  3.20939E-17  1.27011E-18  2.82972E-18  3.11489E-17  2.7E-03
   2.00000E+03  2.91114E-17  1.06216E-18  2.38721E-18  2.81933E-17  3.0E-03
   2.50000E+03  2.36342E-17  7.24843E-19  1.65699E-18  2.28016E-17  2.0E-03
   3.00000E+03  1.99045E-17  5.29297E-19  1.22492E-18  1.91515E-17  4.0E-03
   3.50000E+03  1.71996E-17  4.05136E-19  9.46507E-19  1.65163E-17  3.3E-03
   4.00000E+03  1.51474E-17  3.21024E-19  7.55764E-19  1.45243E-17  2.8E-03
   4.50000E+03  1.35369E-17  2.61230E-19  6.18938E-19  1.29656E-17  1.1E-02
   5.00000E+03  1.22392E-17  2.17103E-19  5.17207E-19  1.17127E-17  1.2E-02
   6.00000E+03  1.02770E-17  1.57407E-19  3.78368E-19  9.82313E-18  7.1E-03
   7.00000E+03  8.86384E-18  1.19792E-19  2.90016E-19  8.46582E-18  6.2E-03
   8.00000E+03  7.79750E-18  9.44822E-20  2.30095E-19  7.44357E-18  1.2E-02
   9.00000E+03  6.96430E-18  7.65933E-20  1.87468E-19  6.64591E-18  6.8E-03
   1.00000E+04  6.29535E-18  6.34569E-20  1.55991E-19  6.00613E-18  9.6E-03
   1.20000E+04  5.23708E-18  4.57863E-20  1.13369E-19  5.04370E-18  3.4E-06
   1.40000E+04  4.52630E-18  3.47273E-20  8.64919E-20  4.35405E-18  4.7E-06
   1.60000E+04  3.99081E-18  2.73230E-20  6.83862E-20  3.83568E-18  3.5E-06
   1.80000E+04  3.57289E-18  2.21104E-20  5.55739E-20  3.43182E-18  4.0E-06
   2.00000E+04  3.23766E-18  1.82948E-20  4.61538E-20  3.10830E-18  4.4E-06
   2.50000E+04  2.63226E-18  1.22486E-20  3.11368E-20  2.52495E-18  6.4E-06
