 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+02 eV = 4.40992E+00 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file z_001.den   
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.02000E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.66000E-25 cm**3
 #                            Bpol = 2.09165E+00
 #
 # Total elastic cross section = 3.93373E-17 cm**2 = 1.40476E+00 a0**2
 # 1st transport cross section = 5.21467E-18 cm**2 = 1.86219E-01 a0**2
 # 2nd transport cross section = 1.07168E-17 cm**2 = 3.82704E-01 a0**2
 #
 #    Absorption cross section = 6.87800E-17 cm**2 = 2.45618E+00 a0**2
 #   Grand total cross section = 1.08118E-16 cm**2 = 3.86098E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  1.000E-04  7.61557E-13  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  1.250E-04  1.18994E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  1.500E-04  1.71346E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  1.750E-04  2.33225E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  2.000E-04  3.04617E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  2.250E-04  3.85530E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  2.500E-04  4.75964E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  2.750E-04  5.75917E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  3.000E-04  6.85391E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  3.250E-04  8.04379E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  3.500E-04  9.32893E-12  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  3.750E-04  1.07092E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  4.000E-04  1.21847E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  4.250E-04  1.37554E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  4.500E-04  1.54213E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  4.750E-04  1.71823E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  5.000E-04  1.90386E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  5.250E-04  2.09900E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  5.500E-04  2.30367E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  5.750E-04  2.51785E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  6.000E-04  2.74156E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  6.250E-04  2.97478E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  6.500E-04  3.21752E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  6.750E-04  3.46979E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  7.000E-04  3.73157E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  7.250E-04  4.00286E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  7.500E-04  4.28368E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  7.750E-04  4.57402E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  8.000E-04  4.87388E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  8.250E-04  5.18325E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
  8.500E-04  5.50215E-11  2.16076E-16  7.71620E+00  0.00000E+00  1.1E-06
