 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+02 eV = 6.61488E+00 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file z_001.den   
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.02000E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.66000E-25 cm**3
 #                            Bpol = 2.85044E+00
 #
 # Total elastic cross section = 2.48507E-17 cm**2 = 8.87434E-01 a0**2
 # 1st transport cross section = 2.66048E-18 cm**2 = 9.50076E-02 a0**2
 # 2nd transport cross section = 5.67291E-18 cm**2 = 2.02583E-01 a0**2
 #
 #    Absorption cross section = 5.23695E-17 cm**2 = 1.87015E+00 a0**2
 #   Grand total cross section = 7.72210E-17 cm**2 = 2.75761E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  1.92817E-16  6.88563E+00  0.00000E+00  5.2E-07
  1.000E-04  7.61557E-13  1.92817E-16  6.88563E+00  9.75249E-13  5.2E-07
  1.250E-04  1.18994E-12  1.92817E-16  6.88563E+00  1.21906E-12  5.2E-07
  1.500E-04  1.71346E-12  1.92817E-16  6.88563E+00  1.46287E-12  5.2E-07
  1.750E-04  2.33225E-12  1.92817E-16  6.88563E+00  1.70669E-12  5.2E-07
  2.000E-04  3.04617E-12  1.92817E-16  6.88563E+00  1.95050E-12  5.2E-07
  2.250E-04  3.85530E-12  1.92817E-16  6.88563E+00  2.19431E-12  5.2E-07
  2.500E-04  4.75964E-12  1.92817E-16  6.88563E+00  2.43812E-12  5.2E-07
  2.750E-04  5.75917E-12  1.92817E-16  6.88563E+00  2.68193E-12  5.2E-07
  3.000E-04  6.85391E-12  1.92817E-16  6.88563E+00  2.92575E-12  5.2E-07
  3.250E-04  8.04379E-12  1.92817E-16  6.88563E+00  3.16956E-12  5.2E-07
  3.500E-04  9.32893E-12  1.92817E-16  6.88563E+00  3.41337E-12  5.2E-07
  3.750E-04  1.07092E-11  1.92817E-16  6.88563E+00  3.65718E-12  5.2E-07
  4.000E-04  1.21847E-11  1.92817E-16  6.88563E+00  3.90099E-12  5.2E-07
  4.250E-04  1.37554E-11  1.92817E-16  6.88563E+00  4.14481E-12  5.2E-07
  4.500E-04  1.54213E-11  1.92817E-16  6.88563E+00  4.38862E-12  5.2E-07
  4.750E-04  1.71823E-11  1.92817E-16  6.88563E+00  4.63243E-12  5.2E-07
  5.000E-04  1.90386E-11  1.92817E-16  6.88563E+00  4.87624E-12  5.2E-07
  5.250E-04  2.09900E-11  1.92817E-16  6.88563E+00  5.12005E-12  5.2E-07
  5.500E-04  2.30367E-11  1.92817E-16  6.88563E+00  5.36387E-12  5.2E-07
  5.750E-04  2.51785E-11  1.92817E-16  6.88563E+00  5.60768E-12  5.2E-07
  6.000E-04  2.74156E-11  1.92817E-16  6.88563E+00  5.85149E-12  5.2E-07
  6.250E-04  2.97478E-11  1.92817E-16  6.88563E+00  6.09530E-12  5.2E-07
  6.500E-04  3.21752E-11  1.92817E-16  6.88563E+00  6.33911E-12  5.2E-07
  6.750E-04  3.46979E-11  1.92817E-16  6.88563E+00  6.58292E-12  5.2E-07
  7.000E-04  3.73157E-11  1.92817E-16  6.88563E+00  6.82674E-12  5.2E-07
  7.250E-04  4.00286E-11  1.92817E-16  6.88563E+00  7.07055E-12  5.2E-07
  7.500E-04  4.28368E-11  1.92817E-16  6.88563E+00  7.31436E-12  5.2E-07
  7.750E-04  4.57402E-11  1.92817E-16  6.88563E+00  7.55817E-12  5.2E-07
  8.000E-04  4.87388E-11  1.92817E-16  6.88563E+00  7.80198E-12  5.2E-07
  8.250E-04  5.18325E-11  1.92817E-16  6.88563E+00  8.04579E-12  5.2E-07
  8.500E-04  5.50215E-11  1.92817E-16  6.88563E+00  8.28960E-12  5.2E-07
  8.750E-04  5.83057E-11  1.92817E-16  6.88563E+00  8.53341E-12  5.2E-07
  9.000E-04  6.16850E-11  1.92817E-16  6.88563E+00  8.77722E-12  5.2E-07
  9.250E-04  6.51595E-11  1.92817E-16  6.88563E+00  9.02104E-12  5.2E-07
  9.500E-04  6.87293E-11  1.92817E-16  6.88563E+00  9.26485E-12  5.2E-07
  9.750E-04  7.23943E-11  1.92817E-16  6.88563E+00  9.50866E-12  5.2E-07
  1.000E-03  7.61544E-11  1.92817E-16  6.88563E+00  9.75247E-12  5.2E-07
  1.250E-03  1.18991E-10  1.92817E-16  6.88563E+00  1.21906E-11  5.2E-07
  1.500E-03  1.71347E-10  1.92817E-16  6.88563E+00  1.46287E-11  5.2E-07
  1.750E-03  2.33223E-10  1.92817E-16  6.88563E+00  1.70667E-11  5.2E-07
  2.000E-03  3.04617E-10  1.92817E-16  6.88563E+00  1.95048E-11  5.2E-07
  2.250E-03  3.85531E-10  1.92817E-16  6.88563E+00  2.19428E-11  5.2E-07
  2.500E-03  4.75965E-10  1.92817E-16  6.88563E+00  2.43809E-11  5.2E-07
  2.750E-03  5.75917E-10  1.92817E-16  6.88563E+00  2.68189E-11  5.2E-07
  3.000E-03  6.85389E-10  1.92817E-16  6.88562E+00  2.92569E-11  5.2E-07
  3.250E-03  8.04380E-10  1.92817E-16  6.88562E+00  3.16948E-11  5.2E-07
  3.500E-03  9.32891E-10  1.92817E-16  6.88562E+00  3.41328E-11  5.2E-07
  3.750E-03  1.07092E-09  1.92817E-16  6.88562E+00  3.65707E-11  5.2E-07
  4.000E-03  1.21847E-09  1.92817E-16  6.88562E+00  3.90085E-11  5.2E-07
