 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Electron density: Read from file z_001.den   
 #                   Number of data points =  751
 #                   Volume integral = 1.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.02000E+01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 6.66000E-25 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 8.59655E-19 cm**2 = 3.06988E-02 a0**2
 # 1st transport cross section = 1.51279E-20 cm**2 = 5.40228E-04 a0**2
 # 2nd transport cross section = 3.75678E-20 cm**2 = 1.34157E-03 a0**2
 #
 #    Absorption cross section = 3.63704E-18 cm**2 = 1.29881E-01 a0**2
 #   Grand total cross section = 4.49675E-18 cm**2 = 1.60582E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.94689E-17  2.83789E+00  0.00000E+00  4.3E-05
  1.000E-04  7.61557E-13  7.94689E-17  2.83789E+00  2.26255E-11  4.3E-05
  1.250E-04  1.18994E-12  7.94689E-17  2.83789E+00  2.82818E-11  4.3E-05
  1.500E-04  1.71346E-12  7.94689E-17  2.83789E+00  3.39382E-11  4.3E-05
  1.750E-04  2.33225E-12  7.94689E-17  2.83788E+00  3.95946E-11  4.3E-05
  2.000E-04  3.04617E-12  7.94689E-17  2.83788E+00  4.52509E-11  4.3E-05
  2.250E-04  3.85530E-12  7.94689E-17  2.83788E+00  5.09073E-11  4.3E-05
  2.500E-04  4.75964E-12  7.94689E-17  2.83788E+00  5.65636E-11  4.3E-05
  2.750E-04  5.75917E-12  7.94689E-17  2.83788E+00  6.22200E-11  4.3E-05
  3.000E-04  6.85391E-12  7.94689E-17  2.83788E+00  6.78763E-11  4.3E-05
  3.250E-04  8.04379E-12  7.94689E-17  2.83788E+00  7.35326E-11  4.3E-05
  3.500E-04  9.32893E-12  7.94689E-17  2.83788E+00  7.91890E-11  4.3E-05
  3.750E-04  1.07092E-11  7.94688E-17  2.83788E+00  8.48453E-11  4.3E-05
  4.000E-04  1.21847E-11  7.94688E-17  2.83788E+00  9.05016E-11  4.3E-05
  4.250E-04  1.37554E-11  7.94688E-17  2.83788E+00  9.61579E-11  4.3E-05
  4.500E-04  1.54213E-11  7.94688E-17  2.83788E+00  1.01814E-10  4.3E-05
  4.750E-04  1.71823E-11  7.94688E-17  2.83788E+00  1.07471E-10  4.3E-05
  5.000E-04  1.90386E-11  7.94688E-17  2.83788E+00  1.13127E-10  4.3E-05
  5.250E-04  2.09900E-11  7.94688E-17  2.83788E+00  1.18783E-10  4.3E-05
  5.500E-04  2.30367E-11  7.94688E-17  2.83788E+00  1.24439E-10  4.3E-05
  5.750E-04  2.51785E-11  7.94688E-17  2.83788E+00  1.30096E-10  4.3E-05
