 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+02 eV = 4.40992E+00 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 2.09165E+00
 #
 # Total elastic cross section = 2.30638E-16 cm**2 = 8.23622E+00 a0**2
 # 1st transport cross section = 9.39716E-17 cm**2 = 3.35579E+00 a0**2
 # 2nd transport cross section = 8.72398E-17 cm**2 = 3.11539E+00 a0**2
 #
 #    Absorption cross section = 1.89175E-16 cm**2 = 6.75556E+00 a0**2
 #   Grand total cross section = 4.19817E-16 cm**2 = 1.49919E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  7.07636E-16  2.52701E+01  0.00000E+00  2.2E-06
  1.000E-04  7.61557E-13  7.07636E-16  2.52701E+01  1.31562E-10  2.2E-06
  1.250E-04  1.18994E-12  7.07636E-16  2.52701E+01  1.64453E-10  2.2E-06
  1.500E-04  1.71346E-12  7.07636E-16  2.52701E+01  1.97343E-10  2.2E-06
  1.750E-04  2.33225E-12  7.07636E-16  2.52701E+01  2.30234E-10  2.2E-06
  2.000E-04  3.04617E-12  7.07636E-16  2.52701E+01  2.63125E-10  2.2E-06
  2.250E-04  3.85530E-12  7.07636E-16  2.52701E+01  2.96015E-10  2.2E-06
  2.500E-04  4.75964E-12  7.07636E-16  2.52701E+01  3.28906E-10  2.2E-06
  2.750E-04  5.75917E-12  7.07636E-16  2.52701E+01  3.61796E-10  2.2E-06
  3.000E-04  6.85391E-12  7.07636E-16  2.52701E+01  3.94687E-10  2.2E-06
  3.250E-04  8.04379E-12  7.07636E-16  2.52701E+01  4.27577E-10  2.2E-06
  3.500E-04  9.32893E-12  7.07636E-16  2.52701E+01  4.60468E-10  2.2E-06
  3.750E-04  1.07092E-11  7.07636E-16  2.52701E+01  4.93359E-10  2.2E-06
  4.000E-04  1.21847E-11  7.07636E-16  2.52701E+01  5.26249E-10  2.2E-06
  4.250E-04  1.37554E-11  7.07636E-16  2.52701E+01  5.59140E-10  2.2E-06
  4.500E-04  1.54213E-11  7.07636E-16  2.52701E+01  5.92030E-10  2.2E-06
  4.750E-04  1.71823E-11  7.07636E-16  2.52701E+01  6.24921E-10  2.2E-06
  5.000E-04  1.90386E-11  7.07636E-16  2.52701E+01  6.57811E-10  2.2E-06
  5.250E-04  2.09900E-11  7.07636E-16  2.52701E+01  6.90702E-10  2.2E-06
  5.500E-04  2.30367E-11  7.07636E-16  2.52701E+01  7.23593E-10  2.2E-06
  5.750E-04  2.51785E-11  7.07636E-16  2.52701E+01  7.56483E-10  2.2E-06
  6.000E-04  2.74156E-11  7.07636E-16  2.52701E+01  7.89374E-10  2.2E-06
  6.250E-04  2.97478E-11  7.07636E-16  2.52701E+01  8.22264E-10  2.2E-06
  6.500E-04  3.21752E-11  7.07636E-16  2.52701E+01  8.55155E-10  2.2E-06
  6.750E-04  3.46979E-11  7.07636E-16  2.52701E+01  8.88045E-10  2.2E-06
  7.000E-04  3.73157E-11  7.07636E-16  2.52701E+01  9.20936E-10  2.2E-06
  7.250E-04  4.00286E-11  7.07636E-16  2.52701E+01  9.53827E-10  2.2E-06
  7.500E-04  4.28368E-11  7.07636E-16  2.52701E+01  9.86717E-10  2.2E-06
  7.750E-04  4.57402E-11  7.07636E-16  2.52701E+01  1.01961E-09  2.2E-06
  8.000E-04  4.87388E-11  7.07636E-16  2.52701E+01  1.05250E-09  2.2E-06
  8.250E-04  5.18325E-11  7.07636E-16  2.52701E+01  1.08539E-09  2.2E-06
  8.500E-04  5.50215E-11  7.07636E-16  2.52701E+01  1.11828E-09  2.2E-06
  8.750E-04  5.83057E-11  7.07636E-16  2.52701E+01  1.15117E-09  2.2E-06
  9.000E-04  6.16850E-11  7.07636E-16  2.52701E+01  1.18406E-09  2.2E-06
  9.250E-04  6.51595E-11  7.07636E-16  2.52701E+01  1.21695E-09  2.2E-06
  9.500E-04  6.87293E-11  7.07636E-16  2.52701E+01  1.24984E-09  2.2E-06
  9.750E-04  7.23943E-11  7.07636E-16  2.52701E+01  1.28273E-09  2.2E-06
  1.000E-03  7.61544E-11  7.07636E-16  2.52701E+01  1.31562E-09  2.2E-06
  1.250E-03  1.18991E-10  7.07636E-16  2.52701E+01  1.64453E-09  2.2E-06
  1.500E-03  1.71347E-10  7.07636E-16  2.52701E+01  1.97343E-09  2.2E-06
  1.750E-03  2.33223E-10  7.07636E-16  2.52701E+01  2.30234E-09  2.2E-06
  2.000E-03  3.04617E-10  7.07636E-16  2.52701E+01  2.63125E-09  2.2E-06
  2.250E-03  3.85531E-10  7.07636E-16  2.52701E+01  2.96015E-09  2.2E-06
  2.500E-03  4.75965E-10  7.07636E-16  2.52701E+01  3.28906E-09  2.2E-06
  2.750E-03  5.75917E-10  7.07636E-16  2.52701E+01  3.61796E-09  2.2E-06
  3.000E-03  6.85389E-10  7.07636E-16  2.52701E+01  3.94687E-09  2.2E-06
  3.250E-03  8.04380E-10  7.07636E-16  2.52701E+01  4.27578E-09  2.2E-06
  3.500E-03  9.32891E-10  7.07636E-16  2.52701E+01  4.60468E-09  2.2E-06
  3.750E-03  1.07092E-09  7.07635E-16  2.52701E+01  4.93359E-09  2.2E-06
  4.000E-03  1.21847E-09  7.07635E-16  2.52701E+01  5.26250E-09  2.2E-06
  4.250E-03  1.37554E-09  7.07635E-16  2.52701E+01  5.59140E-09  2.2E-06
  4.500E-03  1.54213E-09  7.07635E-16  2.52701E+01  5.92031E-09  2.2E-06
  4.750E-03  1.71823E-09  7.07635E-16  2.52701E+01  6.24921E-09  2.2E-06
  5.000E-03  1.90386E-09  7.07635E-16  2.52701E+01  6.57812E-09  2.2E-06
  5.250E-03  2.09900E-09  7.07635E-16  2.52701E+01  6.90703E-09  2.2E-06
  5.500E-03  2.30367E-09  7.07635E-16  2.52701E+01  7.23593E-09  2.2E-06
  5.750E-03  2.51785E-09  7.07635E-16  2.52701E+01  7.56484E-09  2.2E-06
  6.000E-03  2.74156E-09  7.07635E-16  2.52701E+01  7.89375E-09  2.2E-06
  6.250E-03  2.97478E-09  7.07635E-16  2.52701E+01  8.22266E-09  2.2E-06
  6.500E-03  3.21752E-09  7.07635E-16  2.52701E+01  8.55156E-09  2.2E-06
  6.750E-03  3.46978E-09  7.07635E-16  2.52701E+01  8.88047E-09  2.2E-06
  7.000E-03  3.73156E-09  7.07634E-16  2.52701E+01  9.20938E-09  2.2E-06
  7.250E-03  4.00286E-09  7.07634E-16  2.52701E+01  9.53829E-09  2.2E-06
  7.500E-03  4.28368E-09  7.07634E-16  2.52701E+01  9.86719E-09  2.2E-06
  7.750E-03  4.57402E-09  7.07634E-16  2.52701E+01  1.01961E-08  2.2E-06
  8.000E-03  4.87388E-09  7.07634E-16  2.52701E+01  1.05250E-08  2.2E-06
  8.250E-03  5.18326E-09  7.07634E-16  2.52701E+01  1.08539E-08  2.2E-06
  8.500E-03  5.50215E-09  7.07634E-16  2.52701E+01  1.11828E-08  2.2E-06
  8.750E-03  5.83057E-09  7.07634E-16  2.52701E+01  1.15117E-08  2.2E-06
  9.000E-03  6.16850E-09  7.07634E-16  2.52701E+01  1.18406E-08  2.2E-06
  9.250E-03  6.51596E-09  7.07633E-16  2.52701E+01  1.21696E-08  2.2E-06
  9.500E-03  6.87293E-09  7.07633E-16  2.52700E+01  1.24985E-08  2.2E-06
  9.750E-03  7.23942E-09  7.07633E-16  2.52700E+01  1.28274E-08  2.2E-06
  1.000E-02  7.61544E-09  7.07633E-16  2.52700E+01  1.31563E-08  2.2E-06
  1.250E-02  1.18991E-08  7.07632E-16  2.52700E+01  1.64454E-08  2.2E-06
  1.500E-02  1.71347E-08  7.07630E-16  2.52699E+01  1.97345E-08  2.2E-06
  1.750E-02  2.33223E-08  7.07627E-16  2.52698E+01  2.30237E-08  2.2E-06
  2.000E-02  3.04617E-08  7.07625E-16  2.52697E+01  2.63129E-08  2.2E-06
  2.250E-02  3.85531E-08  7.07622E-16  2.52696E+01  2.96021E-08  2.1E-06
  2.500E-02  4.75965E-08  7.07618E-16  2.52695E+01  3.28914E-08  2.1E-06
  2.750E-02  5.75917E-08  7.07615E-16  2.52694E+01  3.61807E-08  2.1E-06
  3.000E-02  6.85389E-08  7.07611E-16  2.52692E+01  3.94701E-08  2.1E-06
  3.250E-02  8.04380E-08  7.07606E-16  2.52691E+01  4.27595E-08  2.1E-06
  3.500E-02  9.32891E-08  7.07602E-16  2.52689E+01  4.60490E-08  2.1E-06
  3.750E-02  1.07092E-07  7.07597E-16  2.52687E+01  4.93386E-08  2.1E-06
  4.000E-02  1.21847E-07  7.07591E-16  2.52685E+01  5.26282E-08  2.1E-06
  4.250E-02  1.37554E-07  7.07586E-16  2.52683E+01  5.59179E-08  2.1E-06
  4.500E-02  1.54213E-07  7.07579E-16  2.52681E+01  5.92077E-08  2.1E-06
  4.750E-02  1.71823E-07  7.07573E-16  2.52679E+01  6.24976E-08  2.1E-06
  5.000E-02  1.90386E-07  7.07566E-16  2.52676E+01  6.57876E-08  2.1E-06
  5.250E-02  2.09900E-07  7.07559E-16  2.52674E+01  6.90776E-08  2.1E-06
  5.500E-02  2.30367E-07  7.07552E-16  2.52671E+01  7.23678E-08  2.1E-06
  5.750E-02  2.51785E-07  7.07544E-16  2.52668E+01  7.56581E-08  2.1E-06
  6.000E-02  2.74156E-07  7.07536E-16  2.52666E+01  7.89485E-08  2.1E-06
  6.250E-02  2.97478E-07  7.07527E-16  2.52662E+01  8.22390E-08  2.1E-06
  6.500E-02  3.21752E-07  7.07518E-16  2.52659E+01  8.55296E-08  2.1E-06
  6.750E-02  3.46978E-07  7.07509E-16  2.52656E+01  8.88203E-08  2.1E-06
  7.000E-02  3.73156E-07  7.07499E-16  2.52653E+01  9.21112E-08  2.1E-06
  7.250E-02  4.00286E-07  7.07489E-16  2.52649E+01  9.54022E-08  2.1E-06
  7.500E-02  4.28368E-07  7.07479E-16  2.52645E+01  9.86934E-08  2.1E-06
