 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+03 eV = 4.40992E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 8.47791E+00
 #
 # Total elastic cross section = 4.57355E-17 cm**2 = 1.63325E+00 a0**2
 # 1st transport cross section = 3.89241E-18 cm**2 = 1.39000E-01 a0**2
 # 2nd transport cross section = 7.91360E-18 cm**2 = 2.82600E-01 a0**2
 #
 #    Absorption cross section = 3.55979E-17 cm**2 = 1.27122E+00 a0**2
 #   Grand total cross section = 8.13349E-17 cm**2 = 2.90452E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.40682E-16  2.28792E+01  0.00000E+00  4.4E-05
  1.000E-04  7.61557E-13  6.40682E-16  2.28792E+01  1.93530E-10  4.4E-05
  1.250E-04  1.18994E-12  6.40682E-16  2.28792E+01  2.41912E-10  4.4E-05
  1.500E-04  1.71346E-12  6.40682E-16  2.28792E+01  2.90295E-10  4.4E-05
  1.750E-04  2.33225E-12  6.40682E-16  2.28792E+01  3.38677E-10  4.4E-05
  2.000E-04  3.04617E-12  6.40682E-16  2.28792E+01  3.87060E-10  4.4E-05
  2.250E-04  3.85530E-12  6.40682E-16  2.28792E+01  4.35442E-10  4.4E-05
  2.500E-04  4.75964E-12  6.40682E-16  2.28792E+01  4.83825E-10  4.4E-05
  2.750E-04  5.75917E-12  6.40682E-16  2.28792E+01  5.32207E-10  4.4E-05
  3.000E-04  6.85391E-12  6.40682E-16  2.28792E+01  5.80590E-10  4.4E-05
  3.250E-04  8.04379E-12  6.40682E-16  2.28792E+01  6.28972E-10  4.4E-05
  3.500E-04  9.32893E-12  6.40682E-16  2.28792E+01  6.77355E-10  4.4E-05
  3.750E-04  1.07092E-11  6.40682E-16  2.28792E+01  7.25737E-10  4.4E-05
  4.000E-04  1.21847E-11  6.40682E-16  2.28792E+01  7.74119E-10  4.4E-05
  4.250E-04  1.37554E-11  6.40682E-16  2.28792E+01  8.22502E-10  4.4E-05
  4.500E-04  1.54213E-11  6.40682E-16  2.28792E+01  8.70884E-10  4.4E-05
  4.750E-04  1.71823E-11  6.40682E-16  2.28792E+01  9.19267E-10  4.4E-05
  5.000E-04  1.90386E-11  6.40682E-16  2.28792E+01  9.67649E-10  4.4E-05
  5.250E-04  2.09900E-11  6.40682E-16  2.28792E+01  1.01603E-09  4.4E-05
  5.500E-04  2.30367E-11  6.40682E-16  2.28792E+01  1.06441E-09  4.4E-05
  5.750E-04  2.51785E-11  6.40682E-16  2.28792E+01  1.11280E-09  4.4E-05
  6.000E-04  2.74156E-11  6.40682E-16  2.28792E+01  1.16118E-09  4.4E-05
  6.250E-04  2.97478E-11  6.40682E-16  2.28792E+01  1.20956E-09  4.4E-05
  6.500E-04  3.21752E-11  6.40682E-16  2.28792E+01  1.25794E-09  4.4E-05
  6.750E-04  3.46979E-11  6.40682E-16  2.28792E+01  1.30633E-09  4.4E-05
