 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+03 eV = 6.61488E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 1.04583E+01
 #
 # Total elastic cross section = 3.28728E-17 cm**2 = 1.17391E+00 a0**2
 # 1st transport cross section = 2.04008E-18 cm**2 = 7.28526E-02 a0**2
 # 2nd transport cross section = 4.37304E-18 cm**2 = 1.56164E-01 a0**2
 #
 #    Absorption cross section = 2.45686E-17 cm**2 = 8.77360E-01 a0**2
 #   Grand total cross section = 5.74426E-17 cm**2 = 2.05131E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.26010E-16  2.23552E+01  0.00000E+00  2.0E-05
  1.000E-04  7.61557E-13  6.26010E-16  2.23552E+01  1.73429E-10  2.0E-05
  1.250E-04  1.18994E-12  6.26010E-16  2.23552E+01  2.16786E-10  2.0E-05
  1.500E-04  1.71346E-12  6.26010E-16  2.23552E+01  2.60144E-10  2.0E-05
  1.750E-04  2.33225E-12  6.26010E-16  2.23552E+01  3.03501E-10  2.0E-05
  2.000E-04  3.04617E-12  6.26010E-16  2.23552E+01  3.46858E-10  2.0E-05
  2.250E-04  3.85530E-12  6.26010E-16  2.23552E+01  3.90215E-10  2.0E-05
  2.500E-04  4.75964E-12  6.26010E-16  2.23552E+01  4.33573E-10  2.0E-05
  2.750E-04  5.75917E-12  6.26010E-16  2.23552E+01  4.76930E-10  2.0E-05
  3.000E-04  6.85391E-12  6.26010E-16  2.23552E+01  5.20287E-10  2.0E-05
  3.250E-04  8.04379E-12  6.26010E-16  2.23552E+01  5.63644E-10  2.0E-05
  3.500E-04  9.32893E-12  6.26010E-16  2.23552E+01  6.07002E-10  2.0E-05
  3.750E-04  1.07092E-11  6.26010E-16  2.23552E+01  6.50359E-10  2.0E-05
  4.000E-04  1.21847E-11  6.26010E-16  2.23552E+01  6.93716E-10  2.0E-05
  4.250E-04  1.37554E-11  6.26010E-16  2.23552E+01  7.37074E-10  2.0E-05
  4.500E-04  1.54213E-11  6.26010E-16  2.23552E+01  7.80431E-10  2.0E-05
  4.750E-04  1.71823E-11  6.26010E-16  2.23552E+01  8.23788E-10  2.0E-05
  5.000E-04  1.90386E-11  6.26010E-16  2.23552E+01  8.67145E-10  2.0E-05
  5.250E-04  2.09900E-11  6.26010E-16  2.23552E+01  9.10502E-10  2.0E-05
  5.500E-04  2.30367E-11  6.26010E-16  2.23552E+01  9.53860E-10  2.0E-05
  5.750E-04  2.51785E-11  6.26010E-16  2.23552E+01  9.97217E-10  2.0E-05
  6.000E-04  2.74156E-11  6.26010E-16  2.23552E+01  1.04057E-09  2.0E-05
  6.250E-04  2.97478E-11  6.26010E-16  2.23552E+01  1.08393E-09  2.0E-05
  6.500E-04  3.21752E-11  6.26010E-16  2.23552E+01  1.12729E-09  2.0E-05
  6.750E-04  3.46979E-11  6.26010E-16  2.23552E+01  1.17065E-09  2.0E-05
  7.000E-04  3.73157E-11  6.26010E-16  2.23552E+01  1.21400E-09  2.0E-05
  7.250E-04  4.00286E-11  6.26010E-16  2.23552E+01  1.25736E-09  2.0E-05
  7.500E-04  4.28368E-11  6.26010E-16  2.23552E+01  1.30072E-09  2.0E-05
  7.750E-04  4.57402E-11  6.26010E-16  2.23552E+01  1.34407E-09  2.0E-05
  8.000E-04  4.87388E-11  6.26010E-16  2.23552E+01  1.38743E-09  2.0E-05
  8.250E-04  5.18325E-11  6.26010E-16  2.23552E+01  1.43079E-09  2.0E-05
  8.500E-04  5.50215E-11  6.26010E-16  2.23552E+01  1.47415E-09  2.0E-05
  8.750E-04  5.83057E-11  6.26010E-16  2.23552E+01  1.51750E-09  2.0E-05
  9.000E-04  6.16850E-11  6.26010E-16  2.23552E+01  1.56086E-09  2.0E-05
  9.250E-04  6.51595E-11  6.26010E-16  2.23552E+01  1.60422E-09  2.0E-05
  9.500E-04  6.87293E-11  6.26010E-16  2.23552E+01  1.64757E-09  2.0E-05
  9.750E-04  7.23943E-11  6.26010E-16  2.23552E+01  1.69093E-09  2.0E-05
  1.000E-03  7.61544E-11  6.26010E-16  2.23552E+01  1.73429E-09  2.0E-05
  1.250E-03  1.18991E-10  6.26010E-16  2.23552E+01  2.16786E-09  2.0E-05
  1.500E-03  1.71347E-10  6.26009E-16  2.23552E+01  2.60143E-09  2.0E-05
  1.750E-03  2.33223E-10  6.26009E-16  2.23552E+01  3.03500E-09  2.0E-05
  2.000E-03  3.04617E-10  6.26009E-16  2.23552E+01  3.46857E-09  2.0E-05
  2.250E-03  3.85531E-10  6.26008E-16  2.23552E+01  3.90213E-09  2.0E-05
  2.500E-03  4.75965E-10  6.26008E-16  2.23551E+01  4.33570E-09  2.0E-05
  2.750E-03  5.75917E-10  6.26007E-16  2.23551E+01  4.76926E-09  2.0E-05
  3.000E-03  6.85389E-10  6.26006E-16  2.23551E+01  5.20282E-09  2.0E-05
  3.250E-03  8.04380E-10  6.26006E-16  2.23551E+01  5.63638E-09  2.0E-05
  3.500E-03  9.32891E-10  6.26005E-16  2.23550E+01  6.06994E-09  2.0E-05
  3.750E-03  1.07092E-09  6.26004E-16  2.23550E+01  6.50350E-09  2.0E-05
  4.000E-03  1.21847E-09  6.26003E-16  2.23550E+01  6.93705E-09  2.0E-05
  4.250E-03  1.37554E-09  6.26002E-16  2.23549E+01  7.37060E-09  2.0E-05
  4.500E-03  1.54213E-09  6.26001E-16  2.23549E+01  7.80415E-09  2.0E-05
  4.750E-03  1.71823E-09  6.26000E-16  2.23549E+01  8.23769E-09  2.0E-05
  5.000E-03  1.90386E-09  6.25999E-16  2.23548E+01  8.67123E-09  2.0E-05
  5.250E-03  2.09900E-09  6.25998E-16  2.23548E+01  9.10477E-09  2.0E-05
  5.500E-03  2.30367E-09  6.25997E-16  2.23547E+01  9.53830E-09  2.0E-05
  5.750E-03  2.51785E-09  6.25995E-16  2.23547E+01  9.97183E-09  2.0E-05
  6.000E-03  2.74156E-09  6.25994E-16  2.23547E+01  1.04054E-08  2.0E-05
  6.250E-03  2.97478E-09  6.25993E-16  2.23546E+01  1.08389E-08  2.0E-05
  6.500E-03  3.21752E-09  6.25991E-16  2.23545E+01  1.12724E-08  2.0E-05
  6.750E-03  3.46978E-09  6.25990E-16  2.23545E+01  1.17059E-08  2.0E-05
  7.000E-03  3.73156E-09  6.25988E-16  2.23544E+01  1.21394E-08  2.0E-05
  7.250E-03  4.00286E-09  6.25986E-16  2.23544E+01  1.25729E-08  2.0E-05
  7.500E-03  4.28368E-09  6.25985E-16  2.23543E+01  1.30064E-08  2.0E-05
  7.750E-03  4.57402E-09  6.25983E-16  2.23543E+01  1.34399E-08  2.0E-05
  8.000E-03  4.87388E-09  6.25981E-16  2.23542E+01  1.38734E-08  2.0E-05
  8.250E-03  5.18326E-09  6.25979E-16  2.23541E+01  1.43069E-08  2.0E-05
  8.500E-03  5.50215E-09  6.25977E-16  2.23541E+01  1.47404E-08  2.0E-05
  8.750E-03  5.83057E-09  6.25975E-16  2.23540E+01  1.51739E-08  2.0E-05
  9.000E-03  6.16850E-09  6.25973E-16  2.23539E+01  1.56073E-08  2.0E-05
  9.250E-03  6.51596E-09  6.25971E-16  2.23538E+01  1.60408E-08  2.0E-05
  9.500E-03  6.87293E-09  6.25969E-16  2.23538E+01  1.64742E-08  2.0E-05
  9.750E-03  7.23942E-09  6.25967E-16  2.23537E+01  1.69077E-08  2.0E-05
  1.000E-02  7.61544E-09  6.25965E-16  2.23536E+01  1.73411E-08  2.0E-05
  1.250E-02  1.18991E-08  6.25939E-16  2.23527E+01  2.16752E-08  2.0E-05
  1.500E-02  1.71347E-08  6.25908E-16  2.23516E+01  2.60083E-08  2.0E-05
  1.750E-02  2.33223E-08  6.25871E-16  2.23502E+01  3.03405E-08  2.0E-05
  2.000E-02  3.04617E-08  6.25828E-16  2.23487E+01  3.46716E-08  2.0E-05
  2.250E-02  3.85531E-08  6.25780E-16  2.23470E+01  3.90013E-08  2.0E-05
  2.500E-02  4.75965E-08  6.25726E-16  2.23451E+01  4.33295E-08  1.9E-05
  2.750E-02  5.75917E-08  6.25666E-16  2.23429E+01  4.76560E-08  1.9E-05
  3.000E-02  6.85389E-08  6.25601E-16  2.23406E+01  5.19807E-08  1.9E-05
  3.250E-02  8.04380E-08  6.25530E-16  2.23381E+01  5.63035E-08  1.9E-05
  3.500E-02  9.32891E-08  6.25453E-16  2.23353E+01  6.06241E-08  1.9E-05
  3.750E-02  1.07092E-07  6.25371E-16  2.23324E+01  6.49424E-08  1.9E-05
  4.000E-02  1.21847E-07  6.25283E-16  2.23293E+01  6.92582E-08  1.9E-05
  4.250E-02  1.37554E-07  6.25190E-16  2.23259E+01  7.35715E-08  1.9E-05
  4.500E-02  1.54213E-07  6.25091E-16  2.23224E+01  7.78819E-08  1.9E-05
  4.750E-02  1.71823E-07  6.24987E-16  2.23187E+01  8.21895E-08  1.8E-05
  5.000E-02  1.90386E-07  6.24877E-16  2.23148E+01  8.64939E-08  1.8E-05
  5.250E-02  2.09900E-07  6.24762E-16  2.23106E+01  9.07952E-08  1.8E-05
  5.500E-02  2.30367E-07  6.24641E-16  2.23063E+01  9.50931E-08  1.8E-05
  5.750E-02  2.51785E-07  6.24515E-16  2.23018E+01  9.93874E-08  1.8E-05
  6.000E-02  2.74156E-07  6.24383E-16  2.22971E+01  1.03678E-07  1.8E-05
  6.250E-02  2.97478E-07  6.24246E-16  2.22922E+01  1.07965E-07  1.7E-05
  6.500E-02  3.21752E-07  6.24104E-16  2.22872E+01  1.12248E-07  1.7E-05
  6.750E-02  3.46978E-07  6.23956E-16  2.22819E+01  1.16527E-07  1.7E-05
  7.000E-02  3.73156E-07  6.23804E-16  2.22764E+01  1.20801E-07  1.7E-05
  7.250E-02  4.00286E-07  6.23645E-16  2.22708E+01  1.25072E-07  1.7E-05
  7.500E-02  4.28368E-07  6.23482E-16  2.22649E+01  1.29338E-07  1.6E-05
  7.750E-02  4.57402E-07  6.23313E-16  2.22589E+01  1.33599E-07  1.6E-05
  8.000E-02  4.87388E-07  6.23140E-16  2.22527E+01  1.37855E-07  1.6E-05
  8.250E-02  5.18325E-07  6.22961E-16  2.22463E+01  1.42107E-07  1.6E-05
  8.500E-02  5.50215E-07  6.22777E-16  2.22398E+01  1.46354E-07  1.5E-05
  8.750E-02  5.83057E-07  6.22588E-16  2.22330E+01  1.50595E-07  1.5E-05
  9.000E-02  6.16850E-07  6.22393E-16  2.22261E+01  1.54832E-07  1.5E-05
  9.250E-02  6.51596E-07  6.22194E-16  2.22190E+01  1.59063E-07  1.5E-05
  9.500E-02  6.87293E-07  6.21990E-16  2.22117E+01  1.63288E-07  1.4E-05
  9.750E-02  7.23942E-07  6.21781E-16  2.22042E+01  1.67508E-07  1.4E-05
  1.000E-01  7.61543E-07  6.21568E-16  2.21966E+01  1.71723E-07  1.4E-05
  1.250E-01  1.18991E-06  6.19172E-16  2.21110E+01  2.13538E-07  1.1E-05
  1.500E-01  1.71347E-06  6.16339E-16  2.20099E+01  2.54703E-07  7.6E-06
  1.750E-01  2.33223E-06  6.13121E-16  2.18949E+01  2.95178E-07  4.2E-06
  2.000E-01  3.04617E-06  6.09573E-16  2.17683E+01  3.34962E-07  9.6E-07
  2.250E-01  3.85531E-06  6.05755E-16  2.16319E+01  3.74095E-07  2.0E-06
  2.500E-01  4.75964E-06  6.01724E-16  2.14879E+01  4.12659E-07  4.5E-06
  2.750E-01  5.75916E-06  5.97537E-16  2.13385E+01  4.50770E-07  6.4E-06
  3.000E-01  6.85388E-06  5.93250E-16  2.11853E+01  4.88573E-07  7.7E-06
  3.250E-01  8.04378E-06  5.88911E-16  2.10304E+01  5.26234E-07  8.2E-06
  3.500E-01  9.32888E-06  5.84565E-16  2.08752E+01  5.63930E-07  8.1E-06
  3.750E-01  1.07092E-05  5.80248E-16  2.07210E+01  6.01837E-07  7.3E-06
  4.000E-01  1.21846E-05  5.75992E-16  2.05690E+01  6.40121E-07  6.0E-06
  4.250E-01  1.37553E-05  5.71819E-16  2.04200E+01  6.78922E-07  4.2E-06
  4.500E-01  1.54212E-05  5.67747E-16  2.02746E+01  7.18355E-07  2.2E-06
  4.750E-01  1.71822E-05  5.63785E-16  2.01331E+01  7.58493E-07  1.6E-07
  5.000E-01  1.90385E-05  5.59937E-16  1.99957E+01  7.99371E-07  1.8E-06
  5.250E-01  2.09899E-05  5.56203E-16  1.98624E+01  8.40980E-07  3.6E-06
  5.500E-01  2.30365E-05  5.52577E-16  1.97329E+01  8.83272E-07  5.0E-06
  5.750E-01  2.51783E-05  5.49051E-16  1.96070E+01  9.26160E-07  6.0E-06
  6.000E-01  2.74153E-05  5.45616E-16  1.94843E+01  9.69534E-07  6.4E-06
  6.250E-01  2.97475E-05  5.42259E-16  1.93644E+01  1.01326E-06  6.3E-06
  6.500E-01  3.21749E-05  5.38970E-16  1.92470E+01  1.05720E-06  5.6E-06
  6.750E-01  3.46974E-05  5.35737E-16  1.91315E+01  1.10121E-06  4.6E-06
  7.000E-01  3.73152E-05  5.32551E-16  1.90177E+01  1.14515E-06  3.2E-06
  7.250E-01  4.00281E-05  5.29402E-16  1.89053E+01  1.18893E-06  1.6E-06
  7.500E-01  4.28362E-05  5.26286E-16  1.87940E+01  1.23245E-06  1.5E-07
