 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.80000E+04 eV = 6.61488E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Total elastic cross section = 4.01725E-18 cm**2 = 1.43459E-01 a0**2
 # 1st transport cross section = 3.76677E-20 cm**2 = 1.34514E-03 a0**2
 # 2nd transport cross section = 9.38227E-20 cm**2 = 3.35047E-03 a0**2
 #
 #    Absorption cross section = 2.76676E-18 cm**2 = 9.88029E-02 a0**2
 #   Grand total cross section = 6.78474E-18 cm**2 = 2.42287E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  4.21256E-16  1.50433E+01  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  4.21256E-16  1.50433E+01  5.87973E-11  1.0E-07
  1.250E-04  1.18994E-12  4.21256E-16  1.50433E+01  7.34967E-11  1.0E-07
  1.500E-04  1.71346E-12  4.21256E-16  1.50433E+01  8.81960E-11  1.0E-07
  1.750E-04  2.33225E-12  4.21256E-16  1.50433E+01  1.02895E-10  1.0E-07
  2.000E-04  3.04617E-12  4.21256E-16  1.50433E+01  1.17595E-10  1.0E-07
  2.250E-04  3.85530E-12  4.21256E-16  1.50433E+01  1.32294E-10  1.0E-07
  2.500E-04  4.75964E-12  4.21256E-16  1.50433E+01  1.46993E-10  1.0E-07
  2.750E-04  5.75917E-12  4.21256E-16  1.50433E+01  1.61693E-10  1.0E-07
  3.000E-04  6.85391E-12  4.21256E-16  1.50433E+01  1.76392E-10  1.0E-07
  3.250E-04  8.04379E-12  4.21256E-16  1.50433E+01  1.91091E-10  1.0E-07
  3.500E-04  9.32893E-12  4.21256E-16  1.50433E+01  2.05791E-10  1.0E-07
  3.750E-04  1.07092E-11  4.21256E-16  1.50433E+01  2.20490E-10  1.0E-07
  4.000E-04  1.21847E-11  4.21256E-16  1.50433E+01  2.35189E-10  1.0E-07
  4.250E-04  1.37554E-11  4.21256E-16  1.50433E+01  2.49889E-10  1.0E-07
  4.500E-04  1.54213E-11  4.21256E-16  1.50433E+01  2.64588E-10  1.0E-07
  4.750E-04  1.71823E-11  4.21256E-16  1.50433E+01  2.79287E-10  1.0E-07
  5.000E-04  1.90386E-11  4.21256E-16  1.50433E+01  2.93987E-10  1.0E-07
  5.250E-04  2.09900E-11  4.21256E-16  1.50433E+01  3.08686E-10  1.0E-07
  5.500E-04  2.30367E-11  4.21256E-16  1.50433E+01  3.23385E-10  1.0E-07
  5.750E-04  2.51785E-11  4.21256E-16  1.50433E+01  3.38085E-10  1.0E-07
  6.000E-04  2.74156E-11  4.21256E-16  1.50433E+01  3.52784E-10  1.0E-07
  6.250E-04  2.97478E-11  4.21256E-16  1.50433E+01  3.67483E-10  1.0E-07
  6.500E-04  3.21752E-11  4.21256E-16  1.50433E+01  3.82183E-10  1.0E-07
  6.750E-04  3.46979E-11  4.21256E-16  1.50433E+01  3.96882E-10  1.0E-07
  7.000E-04  3.73157E-11  4.21256E-16  1.50433E+01  4.11581E-10  1.0E-07
  7.250E-04  4.00286E-11  4.21256E-16  1.50433E+01  4.26281E-10  1.0E-07
  7.500E-04  4.28368E-11  4.21256E-16  1.50433E+01  4.40980E-10  1.0E-07
  7.750E-04  4.57402E-11  4.21256E-16  1.50433E+01  4.55679E-10  1.0E-07
  8.000E-04  4.87388E-11  4.21256E-16  1.50433E+01  4.70379E-10  1.0E-07
