 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.50000E+03 eV = 1.28623E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 1.46842E+01
 #
 # Total elastic cross section = 1.84173E-17 cm**2 = 6.57695E-01 a0**2
 # 1st transport cross section = 6.70471E-19 cm**2 = 2.39430E-02 a0**2
 # 2nd transport cross section = 1.53045E-18 cm**2 = 5.46535E-02 a0**2
 #
 #    Absorption cross section = 1.31662E-17 cm**2 = 4.70172E-01 a0**2
 #   Grand total cross section = 3.15844E-17 cm**2 = 1.12790E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.01047E-16  2.14638E+01  0.00000E+00  2.2E-05
  1.000E-04  7.61557E-13  6.01047E-16  2.14638E+01  1.44685E-10  2.2E-05
  1.250E-04  1.18994E-12  6.01047E-16  2.14638E+01  1.80856E-10  2.2E-05
  1.500E-04  1.71346E-12  6.01047E-16  2.14638E+01  2.17027E-10  2.2E-05
  1.750E-04  2.33225E-12  6.01047E-16  2.14638E+01  2.53199E-10  2.2E-05
  2.000E-04  3.04617E-12  6.01047E-16  2.14638E+01  2.89370E-10  2.2E-05
  2.250E-04  3.85530E-12  6.01047E-16  2.14638E+01  3.25541E-10  2.2E-05
  2.500E-04  4.75964E-12  6.01047E-16  2.14638E+01  3.61712E-10  2.2E-05
  2.750E-04  5.75917E-12  6.01047E-16  2.14638E+01  3.97883E-10  2.2E-05
  3.000E-04  6.85391E-12  6.01047E-16  2.14638E+01  4.34055E-10  2.2E-05
  3.250E-04  8.04379E-12  6.01047E-16  2.14638E+01  4.70226E-10  2.2E-05
  3.500E-04  9.32893E-12  6.01047E-16  2.14638E+01  5.06397E-10  2.2E-05
  3.750E-04  1.07092E-11  6.01047E-16  2.14638E+01  5.42568E-10  2.2E-05
  4.000E-04  1.21847E-11  6.01047E-16  2.14638E+01  5.78739E-10  2.2E-05
  4.250E-04  1.37554E-11  6.01047E-16  2.14638E+01  6.14910E-10  2.2E-05
  4.500E-04  1.54213E-11  6.01047E-16  2.14638E+01  6.51082E-10  2.2E-05
  4.750E-04  1.71823E-11  6.01047E-16  2.14638E+01  6.87253E-10  2.2E-05
  5.000E-04  1.90386E-11  6.01047E-16  2.14638E+01  7.23424E-10  2.2E-05
  5.250E-04  2.09900E-11  6.01047E-16  2.14638E+01  7.59595E-10  2.2E-05
  5.500E-04  2.30367E-11  6.01047E-16  2.14638E+01  7.95766E-10  2.2E-05
  5.750E-04  2.51785E-11  6.01047E-16  2.14638E+01  8.31937E-10  2.2E-05
  6.000E-04  2.74156E-11  6.01047E-16  2.14638E+01  8.68108E-10  2.2E-05
  6.250E-04  2.97478E-11  6.01047E-16  2.14638E+01  9.04279E-10  2.2E-05
  6.500E-04  3.21752E-11  6.01047E-16  2.14638E+01  9.40450E-10  2.2E-05
  6.750E-04  3.46979E-11  6.01047E-16  2.14638E+01  9.76621E-10  2.2E-05
  7.000E-04  3.73157E-11  6.01046E-16  2.14638E+01  1.01279E-09  2.2E-05
  7.250E-04  4.00286E-11  6.01046E-16  2.14638E+01  1.04896E-09  2.2E-05
  7.500E-04  4.28368E-11  6.01046E-16  2.14638E+01  1.08513E-09  2.2E-05
  7.750E-04  4.57402E-11  6.01046E-16  2.14638E+01  1.12131E-09  2.2E-05
  8.000E-04  4.87388E-11  6.01046E-16  2.14638E+01  1.15748E-09  2.2E-05
  8.250E-04  5.18325E-11  6.01046E-16  2.14638E+01  1.19365E-09  2.2E-05
  8.500E-04  5.50215E-11  6.01046E-16  2.14638E+01  1.22982E-09  2.2E-05
  8.750E-04  5.83057E-11  6.01046E-16  2.14638E+01  1.26599E-09  2.2E-05
  9.000E-04  6.16850E-11  6.01046E-16  2.14638E+01  1.30216E-09  2.2E-05
  9.250E-04  6.51595E-11  6.01046E-16  2.14637E+01  1.33833E-09  2.2E-05
  9.500E-04  6.87293E-11  6.01046E-16  2.14637E+01  1.37450E-09  2.2E-05
  9.750E-04  7.23943E-11  6.01046E-16  2.14637E+01  1.41067E-09  2.2E-05
  1.000E-03  7.61544E-11  6.01046E-16  2.14637E+01  1.44684E-09  2.2E-05
  1.250E-03  1.18991E-10  6.01046E-16  2.14637E+01  1.80855E-09  2.2E-05
  1.500E-03  1.71347E-10  6.01045E-16  2.14637E+01  2.17025E-09  2.2E-05
  1.750E-03  2.33223E-10  6.01044E-16  2.14637E+01  2.53195E-09  2.2E-05
  2.000E-03  3.04617E-10  6.01043E-16  2.14637E+01  2.89365E-09  2.2E-05
  2.250E-03  3.85531E-10  6.01042E-16  2.14636E+01  3.25534E-09  2.2E-05
  2.500E-03  4.75965E-10  6.01041E-16  2.14636E+01  3.61703E-09  2.2E-05
  2.750E-03  5.75917E-10  6.01040E-16  2.14635E+01  3.97871E-09  2.2E-05
  3.000E-03  6.85389E-10  6.01039E-16  2.14635E+01  4.34039E-09  2.2E-05
  3.250E-03  8.04380E-10  6.01038E-16  2.14634E+01  4.70206E-09  2.2E-05
  3.500E-03  9.32891E-10  6.01036E-16  2.14634E+01  5.06372E-09  2.2E-05
  3.750E-03  1.07092E-09  6.01035E-16  2.14633E+01  5.42538E-09  2.2E-05
  4.000E-03  1.21847E-09  6.01033E-16  2.14633E+01  5.78702E-09  2.2E-05
  4.250E-03  1.37554E-09  6.01031E-16  2.14632E+01  6.14866E-09  2.2E-05
  4.500E-03  1.54213E-09  6.01029E-16  2.14631E+01  6.51029E-09  2.2E-05
  4.750E-03  1.71823E-09  6.01027E-16  2.14631E+01  6.87191E-09  2.2E-05
  5.000E-03  1.90386E-09  6.01025E-16  2.14630E+01  7.23351E-09  2.2E-05
  5.250E-03  2.09900E-09  6.01023E-16  2.14629E+01  7.59511E-09  2.2E-05
  5.500E-03  2.30367E-09  6.01020E-16  2.14628E+01  7.95670E-09  2.2E-05
  5.750E-03  2.51785E-09  6.01018E-16  2.14627E+01  8.31827E-09  2.2E-05
  6.000E-03  2.74156E-09  6.01015E-16  2.14626E+01  8.67983E-09  2.2E-05
  6.250E-03  2.97478E-09  6.01013E-16  2.14626E+01  9.04138E-09  2.2E-05
  6.500E-03  3.21752E-09  6.01010E-16  2.14625E+01  9.40291E-09  2.2E-05
  6.750E-03  3.46978E-09  6.01007E-16  2.14623E+01  9.76443E-09  2.2E-05
  7.000E-03  3.73156E-09  6.01004E-16  2.14622E+01  1.01259E-08  2.2E-05
  7.250E-03  4.00286E-09  6.01001E-16  2.14621E+01  1.04874E-08  2.2E-05
  7.500E-03  4.28368E-09  6.00998E-16  2.14620E+01  1.08489E-08  2.2E-05
  7.750E-03  4.57402E-09  6.00994E-16  2.14619E+01  1.12104E-08  2.2E-05
  8.000E-03  4.87388E-09  6.00991E-16  2.14618E+01  1.15718E-08  2.2E-05
  8.250E-03  5.18326E-09  6.00987E-16  2.14616E+01  1.19332E-08  2.2E-05
  8.500E-03  5.50215E-09  6.00983E-16  2.14615E+01  1.22946E-08  2.2E-05
  8.750E-03  5.83057E-09  6.00980E-16  2.14614E+01  1.26560E-08  2.2E-05
  9.000E-03  6.16850E-09  6.00976E-16  2.14612E+01  1.30174E-08  2.2E-05
  9.250E-03  6.51596E-09  6.00972E-16  2.14611E+01  1.33787E-08  2.2E-05
  9.500E-03  6.87293E-09  6.00968E-16  2.14609E+01  1.37400E-08  2.2E-05
  9.750E-03  7.23942E-09  6.00963E-16  2.14608E+01  1.41014E-08  2.2E-05
  1.000E-02  7.61544E-09  6.00959E-16  2.14606E+01  1.44626E-08  2.2E-05
  1.250E-02  1.18991E-08  6.00910E-16  2.14589E+01  1.80742E-08  2.2E-05
  1.500E-02  1.71347E-08  6.00849E-16  2.14567E+01  2.16830E-08  2.2E-05
  1.750E-02  2.33223E-08  6.00778E-16  2.14542E+01  2.52886E-08  2.2E-05
  2.000E-02  3.04617E-08  6.00696E-16  2.14513E+01  2.88903E-08  2.2E-05
  2.250E-02  3.85531E-08  6.00603E-16  2.14479E+01  3.24877E-08  2.2E-05
  2.500E-02  4.75965E-08  6.00500E-16  2.14442E+01  3.60802E-08  2.1E-05
  2.750E-02  5.75917E-08  6.00385E-16  2.14401E+01  3.96674E-08  2.1E-05
  3.000E-02  6.85389E-08  6.00260E-16  2.14357E+01  4.32486E-08  2.1E-05
  3.250E-02  8.04380E-08  6.00124E-16  2.14308E+01  4.68234E-08  2.1E-05
  3.500E-02  9.32891E-08  5.99978E-16  2.14256E+01  5.03913E-08  2.1E-05
  3.750E-02  1.07092E-07  5.99821E-16  2.14200E+01  5.39517E-08  2.0E-05
  4.000E-02  1.21847E-07  5.99653E-16  2.14140E+01  5.75043E-08  2.0E-05
  4.250E-02  1.37554E-07  5.99475E-16  2.14076E+01  6.10484E-08  2.0E-05
  4.500E-02  1.54213E-07  5.99287E-16  2.14009E+01  6.45837E-08  2.0E-05
  4.750E-02  1.71823E-07  5.99088E-16  2.13938E+01  6.81096E-08  1.9E-05
  5.000E-02  1.90386E-07  5.98879E-16  2.13864E+01  7.16258E-08  1.9E-05
  5.250E-02  2.09900E-07  5.98660E-16  2.13786E+01  7.51318E-08  1.9E-05
  5.500E-02  2.30367E-07  5.98432E-16  2.13704E+01  7.86270E-08  1.8E-05
  5.750E-02  2.51785E-07  5.98193E-16  2.13618E+01  8.21113E-08  1.8E-05
  6.000E-02  2.74156E-07  5.97944E-16  2.13530E+01  8.55840E-08  1.7E-05
  6.250E-02  2.97478E-07  5.97685E-16  2.13437E+01  8.90448E-08  1.7E-05
  6.500E-02  3.21752E-07  5.97417E-16  2.13342E+01  9.24934E-08  1.7E-05
  6.750E-02  3.46978E-07  5.97140E-16  2.13242E+01  9.59293E-08  1.6E-05
  7.000E-02  3.73156E-07  5.96852E-16  2.13140E+01  9.93523E-08  1.6E-05
  7.250E-02  4.00286E-07  5.96556E-16  2.13034E+01  1.02762E-07  1.5E-05
  7.500E-02  4.28368E-07  5.96250E-16  2.12925E+01  1.06158E-07  1.5E-05
  7.750E-02  4.57402E-07  5.95935E-16  2.12812E+01  1.09540E-07  1.5E-05
  8.000E-02  4.87388E-07  5.95612E-16  2.12697E+01  1.12907E-07  1.4E-05
  8.250E-02  5.18325E-07  5.95279E-16  2.12578E+01  1.16260E-07  1.4E-05
  8.500E-02  5.50215E-07  5.94938E-16  2.12456E+01  1.19599E-07  1.3E-05
  8.750E-02  5.83057E-07  5.94588E-16  2.12331E+01  1.22922E-07  1.3E-05
  9.000E-02  6.16850E-07  5.94229E-16  2.12203E+01  1.26230E-07  1.2E-05
  9.250E-02  6.51596E-07  5.93862E-16  2.12072E+01  1.29522E-07  1.2E-05
  9.500E-02  6.87293E-07  5.93487E-16  2.11938E+01  1.32799E-07  1.1E-05
  9.750E-02  7.23942E-07  5.93104E-16  2.11801E+01  1.36059E-07  1.1E-05
