 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.00000E+02 eV = 1.46997E+01 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 4.67707E+00
 #
 # Total elastic cross section = 1.01796E-16 cm**2 = 3.63522E+00 a0**2
 # 1st transport cross section = 1.90547E-17 cm**2 = 6.80456E-01 a0**2
 # 2nd transport cross section = 3.04808E-17 cm**2 = 1.08849E+00 a0**2
 #
 #    Absorption cross section = 9.04305E-17 cm**2 = 3.22933E+00 a0**2
 #   Grand total cross section = 1.92229E-16 cm**2 = 6.86463E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.80685E-16  2.43077E+01  0.00000E+00  3.9E-07
  1.000E-04  7.61557E-13  6.80685E-16  2.43077E+01  2.26417E-10  3.9E-07
  1.250E-04  1.18994E-12  6.80685E-16  2.43077E+01  2.83021E-10  3.9E-07
  1.500E-04  1.71346E-12  6.80685E-16  2.43077E+01  3.39625E-10  3.9E-07
  1.750E-04  2.33225E-12  6.80685E-16  2.43077E+01  3.96229E-10  3.9E-07
  2.000E-04  3.04617E-12  6.80685E-16  2.43077E+01  4.52833E-10  3.9E-07
  2.250E-04  3.85530E-12  6.80685E-16  2.43077E+01  5.09437E-10  3.9E-07
  2.500E-04  4.75964E-12  6.80685E-16  2.43077E+01  5.66042E-10  3.9E-07
  2.750E-04  5.75917E-12  6.80685E-16  2.43077E+01  6.22646E-10  3.9E-07
  3.000E-04  6.85391E-12  6.80685E-16  2.43077E+01  6.79250E-10  3.9E-07
  3.250E-04  8.04379E-12  6.80685E-16  2.43077E+01  7.35854E-10  3.9E-07
  3.500E-04  9.32893E-12  6.80685E-16  2.43077E+01  7.92458E-10  3.9E-07
  3.750E-04  1.07092E-11  6.80685E-16  2.43077E+01  8.49062E-10  3.9E-07
  4.000E-04  1.21847E-11  6.80685E-16  2.43077E+01  9.05666E-10  3.9E-07
  4.250E-04  1.37554E-11  6.80685E-16  2.43077E+01  9.62271E-10  3.9E-07
  4.500E-04  1.54213E-11  6.80685E-16  2.43077E+01  1.01887E-09  3.9E-07
  4.750E-04  1.71823E-11  6.80685E-16  2.43077E+01  1.07548E-09  3.9E-07
  5.000E-04  1.90386E-11  6.80685E-16  2.43077E+01  1.13208E-09  3.9E-07
  5.250E-04  2.09900E-11  6.80685E-16  2.43077E+01  1.18869E-09  3.9E-07
  5.500E-04  2.30367E-11  6.80685E-16  2.43077E+01  1.24529E-09  3.9E-07
  5.750E-04  2.51785E-11  6.80685E-16  2.43077E+01  1.30190E-09  3.9E-07
  6.000E-04  2.74156E-11  6.80685E-16  2.43077E+01  1.35850E-09  3.9E-07
  6.250E-04  2.97478E-11  6.80685E-16  2.43077E+01  1.41510E-09  3.9E-07
  6.500E-04  3.21752E-11  6.80685E-16  2.43077E+01  1.47171E-09  3.9E-07
  6.750E-04  3.46979E-11  6.80685E-16  2.43077E+01  1.52831E-09  3.9E-07
  7.000E-04  3.73157E-11  6.80685E-16  2.43077E+01  1.58492E-09  3.9E-07
  7.250E-04  4.00286E-11  6.80685E-16  2.43077E+01  1.64152E-09  3.9E-07
  7.500E-04  4.28368E-11  6.80685E-16  2.43077E+01  1.69812E-09  3.9E-07
  7.750E-04  4.57402E-11  6.80685E-16  2.43077E+01  1.75473E-09  3.9E-07
  8.000E-04  4.87388E-11  6.80685E-16  2.43077E+01  1.81133E-09  3.9E-07
  8.250E-04  5.18325E-11  6.80685E-16  2.43077E+01  1.86794E-09  3.9E-07
  8.500E-04  5.50215E-11  6.80685E-16  2.43077E+01  1.92454E-09  3.9E-07
  8.750E-04  5.83057E-11  6.80685E-16  2.43077E+01  1.98115E-09  3.9E-07
  9.000E-04  6.16850E-11  6.80685E-16  2.43077E+01  2.03775E-09  3.9E-07
  9.250E-04  6.51595E-11  6.80685E-16  2.43077E+01  2.09435E-09  3.9E-07
  9.500E-04  6.87293E-11  6.80685E-16  2.43077E+01  2.15096E-09  3.9E-07
  9.750E-04  7.23943E-11  6.80685E-16  2.43077E+01  2.20756E-09  3.9E-07
  1.000E-03  7.61544E-11  6.80685E-16  2.43077E+01  2.26417E-09  3.9E-07
  1.250E-03  1.18991E-10  6.80685E-16  2.43077E+01  2.83021E-09  3.9E-07
  1.500E-03  1.71347E-10  6.80685E-16  2.43077E+01  3.39625E-09  3.9E-07
  1.750E-03  2.33223E-10  6.80685E-16  2.43077E+01  3.96229E-09  3.9E-07
  2.000E-03  3.04617E-10  6.80685E-16  2.43077E+01  4.52833E-09  3.9E-07
  2.250E-03  3.85531E-10  6.80685E-16  2.43077E+01  5.09437E-09  3.9E-07
  2.500E-03  4.75965E-10  6.80685E-16  2.43077E+01  5.66042E-09  3.9E-07
  2.750E-03  5.75917E-10  6.80684E-16  2.43077E+01  6.22646E-09  3.9E-07
  3.000E-03  6.85389E-10  6.80684E-16  2.43077E+01  6.79250E-09  3.9E-07
  3.250E-03  8.04380E-10  6.80684E-16  2.43077E+01  7.35854E-09  3.9E-07
  3.500E-03  9.32891E-10  6.80684E-16  2.43077E+01  7.92458E-09  3.9E-07
  3.750E-03  1.07092E-09  6.80684E-16  2.43077E+01  8.49062E-09  3.9E-07
  4.000E-03  1.21847E-09  6.80684E-16  2.43077E+01  9.05667E-09  3.9E-07
  4.250E-03  1.37554E-09  6.80683E-16  2.43076E+01  9.62271E-09  3.9E-07
