 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 6.00000E+03 eV = 2.20496E+02 a.u.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 1.92841E+01
 #
 # Total elastic cross section = 1.12545E-17 cm**2 = 4.01905E-01 a0**2
 # 1st transport cross section = 2.63827E-19 cm**2 = 9.42142E-03 a0**2
 # 2nd transport cross section = 6.24217E-19 cm**2 = 2.22912E-02 a0**2
 #
 #    Absorption cross section = 7.87489E-18 cm**2 = 2.81217E-01 a0**2
 #   Grand total cross section = 1.91301E-17 cm**2 = 6.83150E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.82476E-16  2.08006E+01  0.00000E+00  2.0E-04
  1.000E-04  7.61557E-13  5.82476E-16  2.08006E+01  1.28714E-10  2.0E-04
  1.250E-04  1.18994E-12  5.82476E-16  2.08006E+01  1.60892E-10  2.0E-04
  1.500E-04  1.71346E-12  5.82476E-16  2.08006E+01  1.93071E-10  2.0E-04
  1.750E-04  2.33225E-12  5.82476E-16  2.08006E+01  2.25249E-10  2.0E-04
  2.000E-04  3.04617E-12  5.82476E-16  2.08006E+01  2.57428E-10  2.0E-04
  2.250E-04  3.85530E-12  5.82476E-16  2.08006E+01  2.89606E-10  2.0E-04
  2.500E-04  4.75964E-12  5.82476E-16  2.08006E+01  3.21784E-10  2.0E-04
  2.750E-04  5.75917E-12  5.82476E-16  2.08006E+01  3.53963E-10  2.0E-04
  3.000E-04  6.85391E-12  5.82476E-16  2.08006E+01  3.86141E-10  2.0E-04
  3.250E-04  8.04379E-12  5.82476E-16  2.08006E+01  4.18320E-10  2.0E-04
  3.500E-04  9.32893E-12  5.82476E-16  2.08006E+01  4.50498E-10  2.0E-04
  3.750E-04  1.07092E-11  5.82476E-16  2.08006E+01  4.82676E-10  2.0E-04
  4.000E-04  1.21847E-11  5.82476E-16  2.08006E+01  5.14855E-10  2.0E-04
  4.250E-04  1.37554E-11  5.82476E-16  2.08006E+01  5.47033E-10  2.0E-04
  4.500E-04  1.54213E-11  5.82476E-16  2.08006E+01  5.79211E-10  2.0E-04
  4.750E-04  1.71823E-11  5.82476E-16  2.08006E+01  6.11389E-10  2.0E-04
  5.000E-04  1.90386E-11  5.82476E-16  2.08006E+01  6.43568E-10  2.0E-04
  5.250E-04  2.09900E-11  5.82476E-16  2.08006E+01  6.75746E-10  2.0E-04
  5.500E-04  2.30367E-11  5.82476E-16  2.08006E+01  7.07924E-10  2.0E-04
  5.750E-04  2.51785E-11  5.82476E-16  2.08006E+01  7.40102E-10  2.0E-04
  6.000E-04  2.74156E-11  5.82476E-16  2.08006E+01  7.72280E-10  2.0E-04
  6.250E-04  2.97478E-11  5.82476E-16  2.08006E+01  8.04458E-10  2.0E-04
  6.500E-04  3.21752E-11  5.82476E-16  2.08006E+01  8.36636E-10  2.0E-04
  6.750E-04  3.46979E-11  5.82476E-16  2.08006E+01  8.68814E-10  2.0E-04
  7.000E-04  3.73157E-11  5.82475E-16  2.08006E+01  9.00992E-10  2.0E-04
  7.250E-04  4.00286E-11  5.82475E-16  2.08006E+01  9.33170E-10  2.0E-04
  7.500E-04  4.28368E-11  5.82475E-16  2.08006E+01  9.65348E-10  2.0E-04
  7.750E-04  4.57402E-11  5.82475E-16  2.08006E+01  9.97526E-10  2.0E-04
  8.000E-04  4.87388E-11  5.82475E-16  2.08006E+01  1.02970E-09  2.0E-04
  8.250E-04  5.18325E-11  5.82475E-16  2.08006E+01  1.06188E-09  2.0E-04
  8.500E-04  5.50215E-11  5.82475E-16  2.08006E+01  1.09406E-09  2.0E-04
  8.750E-04  5.83057E-11  5.82475E-16  2.08006E+01  1.12624E-09  2.0E-04
  9.000E-04  6.16850E-11  5.82475E-16  2.08006E+01  1.15841E-09  2.0E-04
  9.250E-04  6.51595E-11  5.82475E-16  2.08006E+01  1.19059E-09  2.0E-04
  9.500E-04  6.87293E-11  5.82475E-16  2.08006E+01  1.22277E-09  2.0E-04
  9.750E-04  7.23943E-11  5.82475E-16  2.08006E+01  1.25495E-09  2.0E-04
  1.000E-03  7.61544E-11  5.82475E-16  2.08006E+01  1.28712E-09  2.0E-04
  1.250E-03  1.18991E-10  5.82474E-16  2.08005E+01  1.60890E-09  2.0E-04
  1.500E-03  1.71347E-10  5.82473E-16  2.08005E+01  1.93066E-09  2.0E-04
  1.750E-03  2.33223E-10  5.82472E-16  2.08004E+01  2.25242E-09  2.0E-04
  2.000E-03  3.04617E-10  5.82470E-16  2.08004E+01  2.57416E-09  2.0E-04
  2.250E-03  3.85531E-10  5.82469E-16  2.08003E+01  2.89590E-09  2.0E-04
  2.500E-03  4.75965E-10  5.82467E-16  2.08003E+01  3.21762E-09  2.0E-04
  2.750E-03  5.75917E-10  5.82465E-16  2.08002E+01  3.53933E-09  2.0E-04
  3.000E-03  6.85389E-10  5.82463E-16  2.08001E+01  3.86103E-09  2.0E-04
  3.250E-03  8.04380E-10  5.82461E-16  2.08000E+01  4.18270E-09  2.0E-04
  3.500E-03  9.32891E-10  5.82458E-16  2.08000E+01  4.50437E-09  2.0E-04
  3.750E-03  1.07092E-09  5.82455E-16  2.07999E+01  4.82601E-09  2.0E-04
  4.000E-03  1.21847E-09  5.82453E-16  2.07998E+01  5.14763E-09  2.0E-04
  4.250E-03  1.37554E-09  5.82449E-16  2.07996E+01  5.46923E-09  2.0E-04
  4.500E-03  1.54213E-09  5.82446E-16  2.07995E+01  5.79081E-09  2.0E-04
  4.750E-03  1.71823E-09  5.82443E-16  2.07994E+01  6.11236E-09  2.0E-04
  5.000E-03  1.90386E-09  5.82439E-16  2.07993E+01  6.43389E-09  2.0E-04
  5.250E-03  2.09900E-09  5.82435E-16  2.07991E+01  6.75538E-09  1.9E-04
  5.500E-03  2.30367E-09  5.82431E-16  2.07990E+01  7.07686E-09  1.9E-04
  5.750E-03  2.51785E-09  5.82427E-16  2.07989E+01  7.39830E-09  1.9E-04
  6.000E-03  2.74156E-09  5.82423E-16  2.07987E+01  7.71971E-09  1.9E-04
  6.250E-03  2.97478E-09  5.82418E-16  2.07985E+01  8.04109E-09  1.9E-04
  6.500E-03  3.21752E-09  5.82414E-16  2.07984E+01  8.36243E-09  1.9E-04
  6.750E-03  3.46978E-09  5.82409E-16  2.07982E+01  8.68374E-09  1.9E-04
  7.000E-03  3.73156E-09  5.82404E-16  2.07980E+01  9.00501E-09  1.9E-04
  7.250E-03  4.00286E-09  5.82398E-16  2.07978E+01  9.32624E-09  1.9E-04
  7.500E-03  4.28368E-09  5.82393E-16  2.07976E+01  9.64744E-09  1.9E-04
  7.750E-03  4.57402E-09  5.82387E-16  2.07974E+01  9.96859E-09  1.9E-04
  8.000E-03  4.87388E-09  5.82381E-16  2.07972E+01  1.02897E-08  1.9E-04
  8.250E-03  5.18326E-09  5.82375E-16  2.07970E+01  1.06108E-08  1.9E-04
  8.500E-03  5.50215E-09  5.82369E-16  2.07968E+01  1.09318E-08  1.9E-04
  8.750E-03  5.83057E-09  5.82363E-16  2.07966E+01  1.12528E-08  1.9E-04
  9.000E-03  6.16850E-09  5.82356E-16  2.07963E+01  1.15737E-08  1.9E-04
  9.250E-03  6.51596E-09  5.82350E-16  2.07961E+01  1.18946E-08  1.9E-04
  9.500E-03  6.87293E-09  5.82343E-16  2.07958E+01  1.22154E-08  1.9E-04
  9.750E-03  7.23942E-09  5.82335E-16  2.07956E+01  1.25362E-08  1.9E-04
  1.000E-02  7.61544E-09  5.82328E-16  2.07953E+01  1.28569E-08  1.9E-04
  1.250E-02  1.18991E-08  5.82245E-16  2.07923E+01  1.60610E-08  1.9E-04
  1.500E-02  1.71347E-08  5.82144E-16  2.07887E+01  1.92584E-08  1.9E-04
  1.750E-02  2.33223E-08  5.82024E-16  2.07844E+01  2.24477E-08  1.9E-04
  2.000E-02  3.04617E-08  5.81886E-16  2.07795E+01  2.56276E-08  1.9E-04
  2.250E-02  3.85531E-08  5.81730E-16  2.07739E+01  2.87969E-08  1.9E-04
  2.500E-02  4.75965E-08  5.81556E-16  2.07677E+01  3.19543E-08  1.8E-04
  2.750E-02  5.75917E-08  5.81364E-16  2.07609E+01  3.50985E-08  1.8E-04
  3.000E-02  6.85389E-08  5.81154E-16  2.07534E+01  3.82283E-08  1.8E-04
  3.250E-02  8.04380E-08  5.80927E-16  2.07453E+01  4.13425E-08  1.7E-04
  3.500E-02  9.32891E-08  5.80682E-16  2.07365E+01  4.44399E-08  1.7E-04
  3.750E-02  1.07092E-07  5.80420E-16  2.07272E+01  4.75194E-08  1.7E-04
  4.000E-02  1.21847E-07  5.80141E-16  2.07172E+01  5.05799E-08  1.6E-04
  4.250E-02  1.37554E-07  5.79845E-16  2.07066E+01  5.36203E-08  1.6E-04
  4.500E-02  1.54213E-07  5.79532E-16  2.06955E+01  5.66395E-08  1.6E-04
  4.750E-02  1.71823E-07  5.79203E-16  2.06837E+01  5.96366E-08  1.5E-04
  5.000E-02  1.90386E-07  5.78857E-16  2.06714E+01  6.26106E-08  1.5E-04
  5.250E-02  2.09900E-07  5.78496E-16  2.06585E+01  6.55606E-08  1.4E-04
  5.500E-02  2.30367E-07  5.78119E-16  2.06450E+01  6.84856E-08  1.4E-04
  5.750E-02  2.51785E-07  5.77726E-16  2.06310E+01  7.13849E-08  1.3E-04
  6.000E-02  2.74156E-07  5.77318E-16  2.06164E+01  7.42577E-08  1.3E-04
  6.250E-02  2.97478E-07  5.76895E-16  2.06013E+01  7.71032E-08  1.2E-04
  6.500E-02  3.21752E-07  5.76457E-16  2.05857E+01  7.99208E-08  1.2E-04
  6.750E-02  3.46978E-07  5.76005E-16  2.05695E+01  8.27098E-08  1.1E-04
  7.000E-02  3.73156E-07  5.75538E-16  2.05529E+01  8.54696E-08  1.1E-04
  7.250E-02  4.00286E-07  5.75058E-16  2.05357E+01  8.81996E-08  1.0E-04
  7.500E-02  4.28368E-07  5.74565E-16  2.05181E+01  9.08995E-08  9.5E-05
  7.750E-02  4.57402E-07  5.74058E-16  2.05000E+01  9.35688E-08  8.9E-05
  8.000E-02  4.87388E-07  5.73538E-16  2.04814E+01  9.62071E-08  8.3E-05
  8.250E-02  5.18325E-07  5.73005E-16  2.04624E+01  9.88141E-08  7.7E-05
  8.500E-02  5.50215E-07  5.72461E-16  2.04429E+01  1.01390E-07  7.1E-05
  8.750E-02  5.83057E-07  5.71904E-16  2.04231E+01  1.03933E-07  6.6E-05
  9.000E-02  6.16850E-07  5.71336E-16  2.04028E+01  1.06445E-07  6.0E-05
  9.250E-02  6.51596E-07  5.70756E-16  2.03821E+01  1.08925E-07  5.4E-05
  9.500E-02  6.87293E-07  5.70166E-16  2.03610E+01  1.11373E-07  4.8E-05
  9.750E-02  7.23942E-07  5.69565E-16  2.03396E+01  1.13789E-07  4.2E-05
  1.000E-01  7.61543E-07  5.68954E-16  2.03177E+01  1.16173E-07  3.6E-05
  1.250E-01  1.18991E-06  5.62365E-16  2.00824E+01  1.38327E-07  1.8E-05
  1.500E-01  1.71347E-06  5.55152E-16  1.98248E+01  1.57830E-07  5.9E-05
  1.750E-01  2.33223E-06  5.47655E-16  1.95571E+01  1.75632E-07  7.9E-05
  2.000E-01  3.04617E-06  5.40162E-16  1.92895E+01  1.92979E-07  7.8E-05
  2.250E-01  3.85531E-06  5.32892E-16  1.90299E+01  2.11156E-07  5.7E-05
  2.500E-01  4.75964E-06  5.25982E-16  1.87832E+01  2.31214E-07  2.4E-05
  2.750E-01  5.75916E-06  5.19497E-16  1.85516E+01  2.53757E-07  1.2E-05
  3.000E-01  6.85388E-06  5.13436E-16  1.83351E+01  2.78831E-07  4.3E-05
  3.250E-01  8.04378E-06  5.07755E-16  1.81323E+01  3.05954E-07  6.0E-05
  3.500E-01  9.32888E-06  5.02384E-16  1.79405E+01  3.34256E-07  6.1E-05
  3.750E-01  1.07092E-05  4.97248E-16  1.77571E+01  3.62706E-07  4.7E-05
  4.000E-01  1.21846E-05  4.92284E-16  1.75798E+01  3.90367E-07  2.1E-05
