 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 9.00000E+01 eV = 3.30744E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element:  O,  Z =   8,  atomic weight = 1.59994E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 2.69620E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  8
 #
 # Electron density: Read from file z_008.den   
 #                   Number of data points =  681
 #                   Volume integral = 8.00000E+00
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 1.97000E+00 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 8.02000E-25 cm**3
 #                            Bpol = 1.58114E+00
 #
 # Total elastic cross section = 2.79447E-16 cm**2 = 9.97925E+00 a0**2
 # 1st transport cross section = 1.31145E-16 cm**2 = 4.68329E+00 a0**2
 # 2nd transport cross section = 1.05122E-16 cm**2 = 3.75396E+00 a0**2
 #
 #    Absorption cross section = 2.16591E-16 cm**2 = 7.73459E+00 a0**2
 #   Grand total cross section = 4.96044E-16 cm**2 = 1.77140E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.99537E-16  2.49809E+01  0.00000E+00  7.6E-06
  1.000E-04  7.61557E-13  6.99537E-16  2.49809E+01  6.45629E-11  7.6E-06
  1.250E-04  1.18994E-12  6.99537E-16  2.49809E+01  8.07036E-11  7.6E-06
  1.500E-04  1.71346E-12  6.99537E-16  2.49809E+01  9.68444E-11  7.6E-06
  1.750E-04  2.33225E-12  6.99537E-16  2.49809E+01  1.12985E-10  7.6E-06
  2.000E-04  3.04617E-12  6.99537E-16  2.49809E+01  1.29126E-10  7.6E-06
  2.250E-04  3.85530E-12  6.99537E-16  2.49809E+01  1.45267E-10  7.6E-06
  2.500E-04  4.75964E-12  6.99537E-16  2.49809E+01  1.61407E-10  7.6E-06
  2.750E-04  5.75917E-12  6.99537E-16  2.49809E+01  1.77548E-10  7.6E-06
  3.000E-04  6.85391E-12  6.99537E-16  2.49809E+01  1.93689E-10  7.6E-06
  3.250E-04  8.04379E-12  6.99537E-16  2.49809E+01  2.09829E-10  7.6E-06
  3.500E-04  9.32893E-12  6.99537E-16  2.49809E+01  2.25970E-10  7.6E-06
  3.750E-04  1.07092E-11  6.99537E-16  2.49809E+01  2.42111E-10  7.6E-06
  4.000E-04  1.21847E-11  6.99537E-16  2.49809E+01  2.58252E-10  7.6E-06
  4.250E-04  1.37554E-11  6.99537E-16  2.49809E+01  2.74392E-10  7.6E-06
  4.500E-04  1.54213E-11  6.99537E-16  2.49809E+01  2.90533E-10  7.6E-06
  4.750E-04  1.71823E-11  6.99537E-16  2.49809E+01  3.06674E-10  7.6E-06
  5.000E-04  1.90386E-11  6.99537E-16  2.49809E+01  3.22815E-10  7.6E-06
  5.250E-04  2.09900E-11  6.99537E-16  2.49809E+01  3.38955E-10  7.6E-06
  5.500E-04  2.30367E-11  6.99537E-16  2.49809E+01  3.55096E-10  7.6E-06
  5.750E-04  2.51785E-11  6.99537E-16  2.49809E+01  3.71237E-10  7.6E-06
  6.000E-04  2.74156E-11  6.99537E-16  2.49809E+01  3.87378E-10  7.6E-06
  6.250E-04  2.97478E-11  6.99537E-16  2.49809E+01  4.03518E-10  7.6E-06
  6.500E-04  3.21752E-11  6.99537E-16  2.49809E+01  4.19659E-10  7.6E-06
  6.750E-04  3.46979E-11  6.99537E-16  2.49809E+01  4.35800E-10  7.6E-06
  7.000E-04  3.73157E-11  6.99537E-16  2.49809E+01  4.51940E-10  7.6E-06
  7.250E-04  4.00286E-11  6.99537E-16  2.49809E+01  4.68081E-10  7.6E-06
