 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.00000E+04 eV = 3.67493E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.49374E+01
 #
 # Total elastic cross section = 2.14599E-17 cm**2 = 7.66346E-01 a0**2
 # 1st transport cross section = 2.94227E-19 cm**2 = 1.05070E-02 a0**2
 # 2nd transport cross section = 6.92281E-19 cm**2 = 2.47218E-02 a0**2
 #
 #    Absorption cross section = 1.08504E-17 cm**2 = 3.87476E-01 a0**2
 #   Grand total cross section = 3.23148E-17 cm**2 = 1.15398E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.25543E-15  1.87675E+02  0.00000E+00  1.8E-04
  1.000E-04  7.61557E-13  5.25543E-15  1.87675E+02  2.50976E-10  1.8E-04
  1.250E-04  1.18994E-12  5.25543E-15  1.87675E+02  3.13720E-10  1.8E-04
  1.500E-04  1.71346E-12  5.25543E-15  1.87675E+02  3.76464E-10  1.8E-04
  1.750E-04  2.33225E-12  5.25543E-15  1.87675E+02  4.39208E-10  1.8E-04
  2.000E-04  3.04617E-12  5.25543E-15  1.87675E+02  5.01952E-10  1.8E-04
  2.250E-04  3.85530E-12  5.25543E-15  1.87675E+02  5.64695E-10  1.8E-04
  2.500E-04  4.75964E-12  5.25543E-15  1.87675E+02  6.27439E-10  1.8E-04
  2.750E-04  5.75917E-12  5.25543E-15  1.87675E+02  6.90183E-10  1.8E-04
  3.000E-04  6.85391E-12  5.25542E-15  1.87675E+02  7.52927E-10  1.8E-04
  3.250E-04  8.04379E-12  5.25542E-15  1.87675E+02  8.15670E-10  1.8E-04
  3.500E-04  9.32893E-12  5.25542E-15  1.87675E+02  8.78414E-10  1.8E-04
  3.750E-04  1.07092E-11  5.25542E-15  1.87675E+02  9.41157E-10  1.8E-04
  4.000E-04  1.21847E-11  5.25542E-15  1.87675E+02  1.00390E-09  1.8E-04
  4.250E-04  1.37554E-11  5.25542E-15  1.87674E+02  1.06664E-09  1.8E-04
  4.500E-04  1.54213E-11  5.25542E-15  1.87674E+02  1.12939E-09  1.8E-04
  4.750E-04  1.71823E-11  5.25542E-15  1.87674E+02  1.19213E-09  1.8E-04
  5.000E-04  1.90386E-11  5.25542E-15  1.87674E+02  1.25487E-09  1.8E-04
  5.250E-04  2.09900E-11  5.25542E-15  1.87674E+02  1.31762E-09  1.8E-04
  5.500E-04  2.30367E-11  5.25542E-15  1.87674E+02  1.38036E-09  1.8E-04
  5.750E-04  2.51785E-11  5.25541E-15  1.87674E+02  1.44310E-09  1.8E-04
  6.000E-04  2.74156E-11  5.25541E-15  1.87674E+02  1.50584E-09  1.8E-04
  6.250E-04  2.97478E-11  5.25541E-15  1.87674E+02  1.56859E-09  1.8E-04
  6.500E-04  3.21752E-11  5.25541E-15  1.87674E+02  1.63133E-09  1.8E-04
  6.750E-04  3.46979E-11  5.25541E-15  1.87674E+02  1.69407E-09  1.8E-04
  7.000E-04  3.73157E-11  5.25541E-15  1.87674E+02  1.75681E-09  1.8E-04
  7.250E-04  4.00286E-11  5.25541E-15  1.87674E+02  1.81955E-09  1.8E-04
  7.500E-04  4.28368E-11  5.25540E-15  1.87674E+02  1.88230E-09  1.8E-04
  7.750E-04  4.57402E-11  5.25540E-15  1.87674E+02  1.94504E-09  1.8E-04
  8.000E-04  4.87388E-11  5.25540E-15  1.87674E+02  2.00778E-09  1.8E-04
  8.250E-04  5.18325E-11  5.25540E-15  1.87674E+02  2.07052E-09  1.8E-04
  8.500E-04  5.50215E-11  5.25540E-15  1.87674E+02  2.13326E-09  1.8E-04
  8.750E-04  5.83057E-11  5.25539E-15  1.87674E+02  2.19600E-09  1.8E-04
  9.000E-04  6.16850E-11  5.25539E-15  1.87673E+02  2.25874E-09  1.8E-04
  9.250E-04  6.51595E-11  5.25539E-15  1.87673E+02  2.32148E-09  1.8E-04
  9.500E-04  6.87293E-11  5.25539E-15  1.87673E+02  2.38422E-09  1.8E-04
  9.750E-04  7.23943E-11  5.25539E-15  1.87673E+02  2.44696E-09  1.8E-04
  1.000E-03  7.61544E-11  5.25538E-15  1.87673E+02  2.50970E-09  1.8E-04
  1.250E-03  1.18991E-10  5.25536E-15  1.87672E+02  3.13709E-09  1.8E-04
  1.500E-03  1.71347E-10  5.25533E-15  1.87671E+02  3.76445E-09  1.8E-04
  1.750E-03  2.33223E-10  5.25529E-15  1.87670E+02  4.39178E-09  1.8E-04
  2.000E-03  3.04617E-10  5.25525E-15  1.87668E+02  5.01907E-09  1.8E-04
  2.250E-03  3.85531E-10  5.25520E-15  1.87667E+02  5.64632E-09  1.8E-04
  2.500E-03  4.75965E-10  5.25515E-15  1.87665E+02  6.27352E-09  1.8E-04
  2.750E-03  5.75917E-10  5.25509E-15  1.87663E+02  6.90067E-09  1.8E-04
  3.000E-03  6.85389E-10  5.25503E-15  1.87661E+02  7.52776E-09  1.8E-04
  3.250E-03  8.04380E-10  5.25496E-15  1.87658E+02  8.15479E-09  1.8E-04
  3.500E-03  9.32891E-10  5.25489E-15  1.87655E+02  8.78175E-09  1.8E-04
  3.750E-03  1.07092E-09  5.25481E-15  1.87653E+02  9.40864E-09  1.8E-04
  4.000E-03  1.21847E-09  5.25472E-15  1.87649E+02  1.00354E-08  1.8E-04
  4.250E-03  1.37554E-09  5.25463E-15  1.87646E+02  1.06622E-08  1.8E-04
  4.500E-03  1.54213E-09  5.25453E-15  1.87643E+02  1.12888E-08  1.8E-04
  4.750E-03  1.71823E-09  5.25443E-15  1.87639E+02  1.19153E-08  1.8E-04
  5.000E-03  1.90386E-09  5.25432E-15  1.87635E+02  1.25418E-08  1.8E-04
  5.250E-03  2.09900E-09  5.25421E-15  1.87631E+02  1.31681E-08  1.8E-04
  5.500E-03  2.30367E-09  5.25409E-15  1.87627E+02  1.37943E-08  1.8E-04
  5.750E-03  2.51785E-09  5.25397E-15  1.87623E+02  1.44204E-08  1.8E-04
  6.000E-03  2.74156E-09  5.25384E-15  1.87618E+02  1.50464E-08  1.8E-04
  6.250E-03  2.97478E-09  5.25370E-15  1.87613E+02  1.56723E-08  1.8E-04
  6.500E-03  3.21752E-09  5.25356E-15  1.87608E+02  1.62980E-08  1.8E-04
  6.750E-03  3.46978E-09  5.25341E-15  1.87603E+02  1.69236E-08  1.8E-04
  7.000E-03  3.73156E-09  5.25326E-15  1.87597E+02  1.75491E-08  1.8E-04
  7.250E-03  4.00286E-09  5.25310E-15  1.87592E+02  1.81744E-08  1.8E-04
  7.500E-03  4.28368E-09  5.25294E-15  1.87586E+02  1.87995E-08  1.8E-04
  7.750E-03  4.57402E-09  5.25277E-15  1.87580E+02  1.94245E-08  1.8E-04
  8.000E-03  4.87388E-09  5.25260E-15  1.87574E+02  2.00493E-08  1.8E-04
  8.250E-03  5.18326E-09  5.25242E-15  1.87567E+02  2.06740E-08  1.8E-04
  8.500E-03  5.50215E-09  5.25224E-15  1.87561E+02  2.12985E-08  1.8E-04
  8.750E-03  5.83057E-09  5.25205E-15  1.87554E+02  2.19228E-08  1.8E-04
  9.000E-03  6.16850E-09  5.25185E-15  1.87547E+02  2.25469E-08  1.8E-04
  9.250E-03  6.51596E-09  5.25165E-15  1.87540E+02  2.31708E-08  1.7E-04
  9.500E-03  6.87293E-09  5.25144E-15  1.87532E+02  2.37946E-08  1.7E-04
  9.750E-03  7.23942E-09  5.25123E-15  1.87525E+02  2.44181E-08  1.7E-04
  1.000E-02  7.61544E-09  5.25101E-15  1.87517E+02  2.50415E-08  1.7E-04
  1.250E-02  1.18991E-08  5.24853E-15  1.87429E+02  3.12625E-08  1.7E-04
  1.500E-02  1.71347E-08  5.24551E-15  1.87321E+02  3.74575E-08  1.7E-04
  1.750E-02  2.33223E-08  5.24195E-15  1.87193E+02  4.36213E-08  1.7E-04
  2.000E-02  3.04617E-08  5.23785E-15  1.87047E+02  4.97490E-08  1.6E-04
  2.250E-02  3.85531E-08  5.23323E-15  1.86882E+02  5.58356E-08  1.6E-04
  2.500E-02  4.75965E-08  5.22808E-15  1.86698E+02  6.18765E-08  1.6E-04
  2.750E-02  5.75917E-08  5.22241E-15  1.86496E+02  6.78669E-08  1.5E-04
  3.000E-02  6.85389E-08  5.21624E-15  1.86275E+02  7.38023E-08  1.5E-04
  3.250E-02  8.04380E-08  5.20956E-15  1.86037E+02  7.96783E-08  1.5E-04
  3.500E-02  9.32891E-08  5.20239E-15  1.85781E+02  8.54907E-08  1.4E-04
  3.750E-02  1.07092E-07  5.19474E-15  1.85508E+02  9.12355E-08  1.4E-04
  4.000E-02  1.21847E-07  5.18662E-15  1.85218E+02  9.69087E-08  1.3E-04
  4.250E-02  1.37554E-07  5.17803E-15  1.84911E+02  1.02507E-07  1.2E-04
  4.500E-02  1.54213E-07  5.16900E-15  1.84588E+02  1.08026E-07  1.2E-04
  4.750E-02  1.71823E-07  5.15952E-15  1.84250E+02  1.13464E-07  1.1E-04
  5.000E-02  1.90386E-07  5.14961E-15  1.83896E+02  1.18816E-07  1.1E-04
  5.250E-02  2.09900E-07  5.13929E-15  1.83527E+02  1.24081E-07  9.9E-05
