 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.20000E+02 eV = 4.40992E+00 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 2.09165E+00
 #
 # Total elastic cross section = 5.38377E-16 cm**2 = 1.92258E+01 a0**2
 # 1st transport cross section = 1.17538E-16 cm**2 = 4.19735E+00 a0**2
 # 2nd transport cross section = 1.04166E-16 cm**2 = 3.71984E+00 a0**2
 #
 #    Absorption cross section = 5.63033E-16 cm**2 = 2.01063E+01 a0**2
 #   Grand total cross section = 1.10143E-15 cm**2 = 3.93328E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.46621E-15  2.30912E+02  0.00000E+00  1.5E-07
  1.000E-04  7.61557E-13  6.46621E-15  2.30912E+02  2.55416E-11  1.5E-07
  1.250E-04  1.18994E-12  6.46621E-15  2.30912E+02  3.19270E-11  1.5E-07
  1.500E-04  1.71346E-12  6.46621E-15  2.30912E+02  3.83124E-11  1.5E-07
  1.750E-04  2.33225E-12  6.46621E-15  2.30912E+02  4.46978E-11  1.5E-07
  2.000E-04  3.04617E-12  6.46621E-15  2.30912E+02  5.10832E-11  1.5E-07
  2.250E-04  3.85530E-12  6.46621E-15  2.30912E+02  5.74686E-11  1.5E-07
  2.500E-04  4.75964E-12  6.46621E-15  2.30912E+02  6.38540E-11  1.5E-07
  2.750E-04  5.75917E-12  6.46621E-15  2.30912E+02  7.02394E-11  1.5E-07
  3.000E-04  6.85391E-12  6.46621E-15  2.30912E+02  7.66248E-11  1.5E-07
  3.250E-04  8.04379E-12  6.46621E-15  2.30912E+02  8.30101E-11  1.5E-07
  3.500E-04  9.32893E-12  6.46621E-15  2.30912E+02  8.93955E-11  1.5E-07
  3.750E-04  1.07092E-11  6.46621E-15  2.30912E+02  9.57809E-11  1.5E-07
  4.000E-04  1.21847E-11  6.46621E-15  2.30912E+02  1.02166E-10  1.5E-07
  4.250E-04  1.37554E-11  6.46621E-15  2.30912E+02  1.08552E-10  1.5E-07
