 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 1.60000E+04 eV = 5.87989E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Total elastic cross section = 1.39735E-17 cm**2 = 4.99004E-01 a0**2
 # 1st transport cross section = 1.30116E-19 cm**2 = 4.64653E-03 a0**2
 # 2nd transport cross section = 3.15043E-19 cm**2 = 1.12504E-02 a0**2
 #
 #    Absorption cross section = 6.93361E-18 cm**2 = 2.47604E-01 a0**2
 #   Grand total cross section = 2.09110E-17 cm**2 = 7.46744E-01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  3.44037E-15  1.22858E+02  0.00000E+00  1.0E-07
  1.000E-04  7.61557E-13  3.44037E-15  1.22858E+02  1.59255E-10  1.0E-07
  1.250E-04  1.18994E-12  3.44037E-15  1.22858E+02  1.99068E-10  1.0E-07
  1.500E-04  1.71346E-12  3.44037E-15  1.22858E+02  2.38882E-10  1.0E-07
  1.750E-04  2.33225E-12  3.44037E-15  1.22858E+02  2.78696E-10  1.0E-07
  2.000E-04  3.04617E-12  3.44037E-15  1.22858E+02  3.18510E-10  1.0E-07
  2.250E-04  3.85530E-12  3.44037E-15  1.22858E+02  3.58323E-10  1.0E-07
  2.500E-04  4.75964E-12  3.44037E-15  1.22858E+02  3.98137E-10  1.0E-07
  2.750E-04  5.75917E-12  3.44037E-15  1.22858E+02  4.37951E-10  1.0E-07
  3.000E-04  6.85391E-12  3.44037E-15  1.22858E+02  4.77764E-10  1.0E-07
  3.250E-04  8.04379E-12  3.44037E-15  1.22858E+02  5.17578E-10  1.0E-07
  3.500E-04  9.32893E-12  3.44037E-15  1.22858E+02  5.57392E-10  1.0E-07
  3.750E-04  1.07092E-11  3.44037E-15  1.22858E+02  5.97205E-10  1.0E-07
  4.000E-04  1.21847E-11  3.44037E-15  1.22858E+02  6.37019E-10  1.0E-07
