 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 2.00000E+03 eV = 7.34987E+01 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.10397E+01
 #
 # Total elastic cross section = 8.22168E-17 cm**2 = 2.93602E+00 a0**2
 # 1st transport cross section = 4.02524E-18 cm**2 = 1.43744E-01 a0**2
 # 2nd transport cross section = 7.85337E-18 cm**2 = 2.80449E-01 a0**2
 #
 #    Absorption cross section = 5.07419E-17 cm**2 = 1.81203E+00 a0**2
 #   Grand total cross section = 1.32964E-16 cm**2 = 4.74823E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.82855E-15  2.08141E+02  0.00000E+00  4.9E-05
  1.000E-04  7.61557E-13  5.82854E-15  2.08141E+02  1.78220E-10  4.9E-05
  1.250E-04  1.18994E-12  5.82854E-15  2.08141E+02  2.22775E-10  4.9E-05
  1.500E-04  1.71346E-12  5.82854E-15  2.08141E+02  2.67330E-10  4.9E-05
  1.750E-04  2.33225E-12  5.82854E-15  2.08141E+02  3.11886E-10  4.9E-05
  2.000E-04  3.04617E-12  5.82854E-15  2.08141E+02  3.56441E-10  4.9E-05
  2.250E-04  3.85530E-12  5.82854E-15  2.08141E+02  4.00996E-10  4.9E-05
  2.500E-04  4.75964E-12  5.82854E-15  2.08141E+02  4.45551E-10  4.9E-05
  2.750E-04  5.75917E-12  5.82854E-15  2.08141E+02  4.90106E-10  4.9E-05
  3.000E-04  6.85391E-12  5.82854E-15  2.08141E+02  5.34661E-10  4.9E-05
  3.250E-04  8.04379E-12  5.82854E-15  2.08141E+02  5.79216E-10  4.9E-05
  3.500E-04  9.32893E-12  5.82854E-15  2.08141E+02  6.23771E-10  4.9E-05
  3.750E-04  1.07092E-11  5.82854E-15  2.08141E+02  6.68326E-10  4.9E-05
  4.000E-04  1.21847E-11  5.82854E-15  2.08141E+02  7.12881E-10  4.9E-05
  4.250E-04  1.37554E-11  5.82854E-15  2.08141E+02  7.57436E-10  4.9E-05
  4.500E-04  1.54213E-11  5.82854E-15  2.08141E+02  8.01991E-10  4.9E-05
  4.750E-04  1.71823E-11  5.82854E-15  2.08141E+02  8.46546E-10  4.9E-05
  5.000E-04  1.90386E-11  5.82854E-15  2.08141E+02  8.91101E-10  4.9E-05
  5.250E-04  2.09900E-11  5.82854E-15  2.08141E+02  9.35656E-10  4.9E-05
  5.500E-04  2.30367E-11  5.82854E-15  2.08141E+02  9.80211E-10  4.9E-05
  5.750E-04  2.51785E-11  5.82854E-15  2.08141E+02  1.02477E-09  4.9E-05
  6.000E-04  2.74156E-11  5.82854E-15  2.08141E+02  1.06932E-09  4.9E-05
  6.250E-04  2.97478E-11  5.82854E-15  2.08141E+02  1.11388E-09  4.9E-05
  6.500E-04  3.21752E-11  5.82854E-15  2.08141E+02  1.15843E-09  4.9E-05
  6.750E-04  3.46979E-11  5.82854E-15  2.08141E+02  1.20299E-09  4.9E-05
  7.000E-04  3.73157E-11  5.82854E-15  2.08141E+02  1.24754E-09  4.9E-05
  7.250E-04  4.00286E-11  5.82854E-15  2.08141E+02  1.29210E-09  4.9E-05
  7.500E-04  4.28368E-11  5.82854E-15  2.08141E+02  1.33665E-09  4.9E-05
  7.750E-04  4.57402E-11  5.82854E-15  2.08141E+02  1.38121E-09  4.9E-05
  8.000E-04  4.87388E-11  5.82854E-15  2.08141E+02  1.42576E-09  4.9E-05
  8.250E-04  5.18325E-11  5.82854E-15  2.08141E+02  1.47032E-09  4.9E-05
  8.500E-04  5.50215E-11  5.82854E-15  2.08141E+02  1.51487E-09  4.9E-05
  8.750E-04  5.83057E-11  5.82854E-15  2.08141E+02  1.55943E-09  4.9E-05
  9.000E-04  6.16850E-11  5.82854E-15  2.08141E+02  1.60398E-09  4.9E-05
  9.250E-04  6.51595E-11  5.82854E-15  2.08141E+02  1.64854E-09  4.9E-05
  9.500E-04  6.87293E-11  5.82854E-15  2.08141E+02  1.69309E-09  4.9E-05
  9.750E-04  7.23943E-11  5.82854E-15  2.08141E+02  1.73765E-09  4.9E-05
  1.000E-03  7.61544E-11  5.82854E-15  2.08141E+02  1.78220E-09  4.9E-05
  1.250E-03  1.18991E-10  5.82853E-15  2.08141E+02  2.22775E-09  4.9E-05
  1.500E-03  1.71347E-10  5.82852E-15  2.08140E+02  2.67330E-09  4.9E-05
  1.750E-03  2.33223E-10  5.82851E-15  2.08140E+02  3.11884E-09  4.9E-05
  2.000E-03  3.04617E-10  5.82851E-15  2.08140E+02  3.56438E-09  4.9E-05
  2.250E-03  3.85531E-10  5.82849E-15  2.08139E+02  4.00992E-09  4.9E-05
  2.500E-03  4.75965E-10  5.82848E-15  2.08139E+02  4.45546E-09  4.9E-05
  2.750E-03  5.75917E-10  5.82847E-15  2.08138E+02  4.90100E-09  4.9E-05
  3.000E-03  6.85389E-10  5.82846E-15  2.08138E+02  5.34653E-09  4.9E-05
  3.250E-03  8.04380E-10  5.82844E-15  2.08137E+02  5.79206E-09  4.9E-05
  3.500E-03  9.32891E-10  5.82842E-15  2.08137E+02  6.23759E-09  4.9E-05
  3.750E-03  1.07092E-09  5.82841E-15  2.08136E+02  6.68311E-09  4.9E-05
  4.000E-03  1.21847E-09  5.82839E-15  2.08135E+02  7.12863E-09  4.9E-05
  4.250E-03  1.37554E-09  5.82837E-15  2.08135E+02  7.57415E-09  4.9E-05
  4.500E-03  1.54213E-09  5.82834E-15  2.08134E+02  8.01966E-09  4.9E-05
  4.750E-03  1.71823E-09  5.82832E-15  2.08133E+02  8.46516E-09  4.9E-05
  5.000E-03  1.90386E-09  5.82830E-15  2.08132E+02  8.91066E-09  4.9E-05
  5.250E-03  2.09900E-09  5.82827E-15  2.08131E+02  9.35616E-09  4.9E-05
  5.500E-03  2.30367E-09  5.82825E-15  2.08130E+02  9.80165E-09  4.9E-05
  5.750E-03  2.51785E-09  5.82822E-15  2.08129E+02  1.02471E-08  4.9E-05
  6.000E-03  2.74156E-09  5.82819E-15  2.08128E+02  1.06926E-08  4.9E-05
  6.250E-03  2.97478E-09  5.82816E-15  2.08127E+02  1.11381E-08  4.9E-05
  6.500E-03  3.21752E-09  5.82813E-15  2.08126E+02  1.15835E-08  4.9E-05
  6.750E-03  3.46978E-09  5.82809E-15  2.08125E+02  1.20290E-08  4.9E-05
  7.000E-03  3.73156E-09  5.82806E-15  2.08124E+02  1.24745E-08  4.9E-05
  7.250E-03  4.00286E-09  5.82802E-15  2.08123E+02  1.29199E-08  4.9E-05
  7.500E-03  4.28368E-09  5.82799E-15  2.08121E+02  1.33653E-08  4.9E-05
  7.750E-03  4.57402E-09  5.82795E-15  2.08120E+02  1.38108E-08  4.9E-05
  8.000E-03  4.87388E-09  5.82791E-15  2.08118E+02  1.42562E-08  4.9E-05
  8.250E-03  5.18326E-09  5.82787E-15  2.08117E+02  1.47016E-08  4.9E-05
  8.500E-03  5.50215E-09  5.82783E-15  2.08116E+02  1.51470E-08  4.9E-05
  8.750E-03  5.83057E-09  5.82779E-15  2.08114E+02  1.55924E-08  4.9E-05
  9.000E-03  6.16850E-09  5.82774E-15  2.08112E+02  1.60378E-08  4.9E-05
  9.250E-03  6.51596E-09  5.82770E-15  2.08111E+02  1.64832E-08  4.9E-05
  9.500E-03  6.87293E-09  5.82765E-15  2.08109E+02  1.69285E-08  4.9E-05
  9.750E-03  7.23942E-09  5.82760E-15  2.08108E+02  1.73739E-08  4.9E-05
  1.000E-02  7.61544E-09  5.82755E-15  2.08106E+02  1.78192E-08  4.9E-05
  1.250E-02  1.18991E-08  5.82700E-15  2.08086E+02  2.22721E-08  4.9E-05
  1.500E-02  1.71347E-08  5.82632E-15  2.08062E+02  2.67236E-08  4.9E-05
  1.750E-02  2.33223E-08  5.82551E-15  2.08033E+02  3.11735E-08  4.9E-05
