 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 4.50000E+03 eV = 1.65372E+02 a.u.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.66771E+01
 #
 # Total elastic cross section = 4.28478E-17 cm**2 = 1.53012E+00 a0**2
 # 1st transport cross section = 1.12710E-18 cm**2 = 4.02494E-02 a0**2
 # 2nd transport cross section = 2.47265E-18 cm**2 = 8.82998E-02 a0**2
 #
 #    Absorption cross section = 2.33831E-17 cm**2 = 8.35026E-01 a0**2
 #   Grand total cross section = 6.62359E-17 cm**2 = 2.36533E+00 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  5.51008E-15  1.96769E+02  0.00000E+00  3.7E-04
  1.000E-04  7.61557E-13  5.51008E-15  1.96769E+02  2.35741E-10  3.7E-04
  1.250E-04  1.18994E-12  5.51008E-15  1.96769E+02  2.94676E-10  3.7E-04
  1.500E-04  1.71346E-12  5.51008E-15  1.96769E+02  3.53611E-10  3.7E-04
  1.750E-04  2.33225E-12  5.51008E-15  1.96769E+02  4.12547E-10  3.7E-04
  2.000E-04  3.04617E-12  5.51008E-15  1.96768E+02  4.71482E-10  3.7E-04
  2.250E-04  3.85530E-12  5.51008E-15  1.96768E+02  5.30417E-10  3.7E-04
  2.500E-04  4.75964E-12  5.51008E-15  1.96768E+02  5.89352E-10  3.7E-04
  2.750E-04  5.75917E-12  5.51008E-15  1.96768E+02  6.48287E-10  3.7E-04
  3.000E-04  6.85391E-12  5.51008E-15  1.96768E+02  7.07222E-10  3.7E-04
  3.250E-04  8.04379E-12  5.51008E-15  1.96768E+02  7.66157E-10  3.7E-04
  3.500E-04  9.32893E-12  5.51008E-15  1.96768E+02  8.25093E-10  3.7E-04
  3.750E-04  1.07092E-11  5.51008E-15  1.96768E+02  8.84028E-10  3.7E-04
  4.000E-04  1.21847E-11  5.51008E-15  1.96768E+02  9.42963E-10  3.7E-04
  4.250E-04  1.37554E-11  5.51008E-15  1.96768E+02  1.00190E-09  3.7E-04
  4.500E-04  1.54213E-11  5.51008E-15  1.96768E+02  1.06083E-09  3.7E-04
