 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 8.00000E+01 eV = 2.93995E+00 a.u.
 #
 #  ***  WARNING: Energy is too low.
 #                The reliability of the results is questionable.
 #
 # Element: Si,  Z =  14,  atomic weight = 2.80855E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 3.25245E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 14
 #
 # Electron density: Read from file z_014.den   
 #                   Number of data points =  761
 #                   Volume integral = 1.40000E+01
 #
 # Furness-McCarthy exchange potential
 #
 # LDA absorption potential (only electron-hole excitations):
 #                           Delta = 7.80000E-01 eV
 #                            Aabs = 2.00000E+00
 #
 # Correlation-polarization potential (LDA):
 #                           Alpha = 5.38000E-24 cm**3
 #                            Bpol = 1.36931E+00
 #
 # Total elastic cross section = 6.81802E-16 cm**2 = 2.43476E+01 a0**2
 # 1st transport cross section = 1.52433E-16 cm**2 = 5.44349E+00 a0**2
 # 2nd transport cross section = 1.39846E-16 cm**2 = 4.99401E+00 a0**2
 #
 #    Absorption cross section = 7.37434E-16 cm**2 = 2.63342E+01 a0**2
 #   Grand total cross section = 1.41927E-15 cm**2 = 5.06830E+01 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  0.000E+00  0.00000E+00  6.39307E-15  2.28301E+02  0.00000E+00  1.3E-07
  1.000E-04  7.61557E-13  6.39307E-15  2.28301E+02  2.35848E-10  1.3E-07
  1.250E-04  1.18994E-12  6.39307E-15  2.28301E+02  2.94810E-10  1.3E-07
  1.500E-04  1.71346E-12  6.39307E-15  2.28301E+02  3.53772E-10  1.3E-07
  1.750E-04  2.33225E-12  6.39307E-15  2.28301E+02  4.12734E-10  1.3E-07
  2.000E-04  3.04617E-12  6.39307E-15  2.28301E+02  4.71696E-10  1.3E-07
  2.250E-04  3.85530E-12  6.39307E-15  2.28301E+02  5.30658E-10  1.3E-07
  2.500E-04  4.75964E-12  6.39307E-15  2.28301E+02  5.89620E-10  1.3E-07
  2.750E-04  5.75917E-12  6.39307E-15  2.28301E+02  6.48582E-10  1.3E-07
  3.000E-04  6.85391E-12  6.39307E-15  2.28301E+02  7.07545E-10  1.3E-07
  3.250E-04  8.04379E-12  6.39307E-15  2.28301E+02  7.66507E-10  1.3E-07
  3.500E-04  9.32893E-12  6.39307E-15  2.28301E+02  8.25469E-10  1.3E-07
  3.750E-04  1.07092E-11  6.39307E-15  2.28301E+02  8.84431E-10  1.3E-07
  4.000E-04  1.21847E-11  6.39307E-15  2.28301E+02  9.43393E-10  1.3E-07
  4.250E-04  1.37554E-11  6.39307E-15  2.28301E+02  1.00235E-09  1.3E-07
  4.500E-04  1.54213E-11  6.39307E-15  2.28301E+02  1.06132E-09  1.3E-07
  4.750E-04  1.71823E-11  6.39307E-15  2.28301E+02  1.12028E-09  1.3E-07
  5.000E-04  1.90386E-11  6.39307E-15  2.28301E+02  1.17924E-09  1.3E-07
  5.250E-04  2.09900E-11  6.39307E-15  2.28301E+02  1.23820E-09  1.3E-07
  5.500E-04  2.30367E-11  6.39307E-15  2.28301E+02  1.29716E-09  1.3E-07
  5.750E-04  2.51785E-11  6.39307E-15  2.28301E+02  1.35613E-09  1.3E-07
  6.000E-04  2.74156E-11  6.39307E-15  2.28301E+02  1.41509E-09  1.3E-07
  6.250E-04  2.97478E-11  6.39307E-15  2.28301E+02  1.47405E-09  1.3E-07
  6.500E-04  3.21752E-11  6.39307E-15  2.28301E+02  1.53301E-09  1.3E-07
  6.750E-04  3.46979E-11  6.39307E-15  2.28301E+02  1.59198E-09  1.3E-07
  7.000E-04  3.73157E-11  6.39307E-15  2.28301E+02  1.65094E-09  1.3E-07
  7.250E-04  4.00286E-11  6.39307E-15  2.28301E+02  1.70990E-09  1.3E-07
  7.500E-04  4.28368E-11  6.39307E-15  2.28301E+02  1.76886E-09  1.3E-07
  7.750E-04  4.57402E-11  6.39307E-15  2.28301E+02  1.82782E-09  1.3E-07
  8.000E-04  4.87388E-11  6.39307E-15  2.28301E+02  1.88679E-09  1.3E-07
  8.250E-04  5.18325E-11  6.39307E-15  2.28301E+02  1.94575E-09  1.3E-07
  8.500E-04  5.50215E-11  6.39307E-15  2.28301E+02  2.00471E-09  1.3E-07
  8.750E-04  5.83057E-11  6.39307E-15  2.28301E+02  2.06367E-09  1.3E-07
  9.000E-04  6.16850E-11  6.39307E-15  2.28301E+02  2.12263E-09  1.3E-07
  9.250E-04  6.51595E-11  6.39307E-15  2.28301E+02  2.18160E-09  1.3E-07
  9.500E-04  6.87293E-11  6.39307E-15  2.28301E+02  2.24056E-09  1.3E-07
  9.750E-04  7.23943E-11  6.39307E-15  2.28301E+02  2.29952E-09  1.3E-07
  1.000E-03  7.61544E-11  6.39307E-15  2.28301E+02  2.35848E-09  1.3E-07
  1.250E-03  1.18991E-10  6.39307E-15  2.28301E+02  2.94810E-09  1.3E-07
  1.500E-03  1.71347E-10  6.39307E-15  2.28301E+02  3.53772E-09  1.3E-07
  1.750E-03  2.33223E-10  6.39307E-15  2.28301E+02  4.12734E-09  1.3E-07
  2.000E-03  3.04617E-10  6.39307E-15  2.28301E+02  4.71696E-09  1.3E-07
  2.250E-03  3.85531E-10  6.39306E-15  2.28300E+02  5.30658E-09  1.3E-07
  2.500E-03  4.75965E-10  6.39306E-15  2.28300E+02  5.89620E-09  1.3E-07
  2.750E-03  5.75917E-10  6.39306E-15  2.28300E+02  6.48582E-09  1.3E-07
  3.000E-03  6.85389E-10  6.39306E-15  2.28300E+02  7.07544E-09  1.3E-07
  3.250E-03  8.04380E-10  6.39306E-15  2.28300E+02  7.66506E-09  1.3E-07
  3.500E-03  9.32891E-10  6.39306E-15  2.28300E+02  8.25469E-09  1.3E-07
  3.750E-03  1.07092E-09  6.39306E-15  2.28300E+02  8.84431E-09  1.3E-07
  4.000E-03  1.21847E-09  6.39306E-15  2.28300E+02  9.43393E-09  1.3E-07
